,model,dataset,n,d,query,d_not_sparse,budget_total,best_arm_hat,p_hat_best_arm_hat,log_S_hat,best_arm,p_best_arm,log_S,budget_log_norm_estimation,budget_best_arms,budget_estimate_best_arm
0,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,0,4096,4744271,[28734],[0.99891091],20.755362146253848,[28734],[0.9997681],20.754509,1728000,4626738,4096
1,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,1,4096,7568452,[349],[0.36373428],14.961038704050234,[349],[0.3544375],14.986933,1152045,7553366,4096
2,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,2,4096,6945740,[842],[0.47584058],15.24691242757894,[842],[0.4945447],15.208358,1728000,6614108,4096
3,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,3,4096,12106658,[272],[0.18547104],14.488444417634206,[272],[0.1822738],14.505838,1728000,11088629,4096
4,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,4,4096,6731529,[3304],[0.5871477],17.28950554576713,[3304],[0.58405703],17.294786,1152018,6201199,4096
5,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,5,4096,5556332,[415],[0.36990367],15.509855383562492,[415],[0.3450608],15.579389,1728000,5399680,4096
6,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,6,4096,6900202,[802],[0.99345482],17.702317881006877,[802],[0.9940832],17.701685,1152018,6808909,4096
7,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,7,4096,6563155,[403],[0.24155303],15.407332932787405,[403],[0.26083738],15.330524,1728054,6284730,4096
8,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,8,4096,5318131,[28740],[0.76111598],19.581252377037238,[28740],[0.69767916],19.668282,512020,5316111,4096
9,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,9,4096,4275338,[28705],[0.9965062],19.772813725050785,[28705],[0.99932754],19.769987,1152018,4251093,4096
