,model,dataset,n,d,query,d_not_sparse,budget_total,best_arm_hat,p_hat_best_arm_hat,log_S_hat,best_arm,p_best_arm,log_S,budget_log_norm_estimation,budget_best_arms,budget_estimate_best_arm
0,gpt2,wikitext-512,50257,768,0,768,8583586,[390],[0.03939085],-83.31675791665799,[390],[0.03553508],-83.213745,6293975,6287655,768
1,gpt2,wikitext-512,50257,768,1,768,5043926,[373],[0.2707711],-94.41607560773205,[373],[0.26769906],-94.404625,3972908,3257930,768
2,gpt2,wikitext-512,50257,768,2,768,3831029,[198],[0.99925119],-251.27191020913176,[198],[0.9993767],-251.27205,3820321,3654330,768
3,gpt2,wikitext-512,50257,768,3,768,7694130,[40911],[0.08536491],-98.75226122986004,[40911],[0.08358109],-98.73115,4563987,5204313,768
4,gpt2,wikitext-512,50257,768,4,768,5059611,[2488],[0.61229875],-33.89383011851077,[2488],[0.5741336],-33.82947,3835883,4428782,768
5,gpt2,wikitext-512,50257,768,5,768,5131151,[764],[0.58828057],-58.8416182099158,[764],[0.6182909],-58.89138,3862605,4604694,768
6,gpt2,wikitext-512,50257,768,6,768,5442675,[284],[0.45482627],-58.281995903167875,[284],[0.45550087],-58.28349,4587997,4109717,768
7,gpt2,wikitext-512,50257,768,7,768,3823018,[198],[0.99931672],-252.17213752765005,[198],[0.99954814],-252.1724,3820219,2717629,768
8,gpt2,wikitext-512,50257,768,8,768,9507407,[31],[0.75869411],106.14550321589059,[31],[0.8312073],106.05423,4173528,4195523,768
9,gpt2,wikitext-512,50257,768,9,768,5062639,[351],[0.16524998],-126.37478341244248,[351],[0.13351353],-126.16153,4141479,3138100,768
10,gpt2,wikitext-512,50257,768,10,768,7117504,[370],[0.15124551],-86.82405503467744,[370],[0.15122151],-86.8239,3975821,3809149,768
11,gpt2,wikitext-512,50257,768,11,768,5674244,[284],[0.80852795],-96.62824213273223,[284],[0.8838355],-96.71729,4425038,4864800,768
12,gpt2,wikitext-512,50257,768,12,768,6229677,[796],[0.95000313],66.55307527840934,[796],[0.9470397],66.5562,4384161,4825441,768
13,gpt2,wikitext-512,50257,768,13,768,4517200,[82],[0.78045309],-90.3395293309864,[82],[0.70154166],-90.23295,3964953,4338725,768
14,gpt2,wikitext-512,50257,768,14,768,5476436,[705],[0.30074316],-81.15380985869518,[705],[0.326077],-81.23467,4116315,4649788,768
15,gpt2,wikitext-512,50257,768,15,768,5681575,[329],[0.94015731],-19.685648352399287,[329],[0.94848657],-19.694473,4105191,3960095,768
16,gpt2,wikitext-512,50257,768,16,768,4591108,[15240],[0.08053408],-134.34138356741656,[15240],[0.07307754],-134.24423,3840809,3314770,768
17,gpt2,wikitext-512,50257,768,17,768,5343254,[373],[0.06332887],-112.81523964620722,[373],[0.06582127],-112.85385,3877655,3462398,768
18,gpt2,wikitext-512,50257,768,18,768,6645615,[82],[0.83307511],-81.09396460014595,[82],[0.8624048],-81.12858,4235604,5198623,768
19,gpt2,wikitext-512,50257,768,19,768,4293781,[1690],[0.13158681],-128.63891898811312,[1690],[0.11680403],-128.51973,3884953,2681378,768
20,gpt2,wikitext-512,50257,768,20,768,4920488,[764],[0.52154857],-108.19917529430487,[764],[0.53388715],-108.22256,4244092,4395168,768
21,gpt2,wikitext-512,50257,768,21,768,5282361,[1171],[0.30154569],-121.01160022295291,[1171],[0.29020014],-120.97323,3947992,2841437,768
22,gpt2,wikitext-512,50257,768,22,768,5595166,[30157],[0.99728262],-209.92875170159974,[30157],[0.9993025],-209.93079,3891861,4941407,768
23,gpt2,wikitext-512,50257,768,23,768,6615346,[5287],[0.15468619],-109.45962437624063,[5287],[0.15055387],-109.432556,4005927,4010962,768
24,gpt2,wikitext-512,50257,768,24,768,6960060,[784],[0.69899369],-33.91666289017637,[784],[0.7185869],-33.94431,3882026,5780422,768
25,gpt2,wikitext-512,50257,768,25,768,4086009,[262],[0.32133372],-115.20507222535284,[262],[0.27879193],-115.063034,3900337,3196588,768
26,gpt2,wikitext-512,50257,768,26,768,6330033,[764],[0.10222052],-116.23577268960223,[764],[0.11999495],-116.39608,4162952,3723710,768
27,gpt2,wikitext-512,50257,768,27,768,6544707,[286],[0.12815075],-64.79862429815002,[286],[0.14033158],-64.88943,4312399,4908755,768
28,gpt2,wikitext-512,50257,768,28,768,4856974,[373],[0.37153639],-83.66107560746286,[373],[0.37544164],-83.671524,3927855,4431205,768
29,gpt2,wikitext-512,50257,768,29,768,4225422,[3269],[0.1668309],-135.90414124221184,[3269],[0.19062893],-136.03743,4049883,3093737,768
30,gpt2,wikitext-512,50257,768,30,768,5586465,[262],[0.53361684],-82.35922745840843,[262],[0.52053684],-82.33441,4142310,3444441,768
31,gpt2,wikitext-512,50257,768,31,768,6333918,[12877],[0.5360274],-80.49143548623594,[12877],[0.55590963],-80.527855,4658024,4531215,768
32,gpt2,wikitext-512,50257,768,32,768,5520393,[286],[0.20605259],-91.38895832036356,[286],[0.2274142],-91.48762,4130587,3843362,768
33,gpt2,wikitext-512,50257,768,33,768,7097148,[6362],[0.9998712],-106.22609799613491,[6362],[0.9997186],-106.22593,3839736,5537720,768
34,gpt2,wikitext-512,50257,768,34,768,5630708,[262],[0.14657893],-129.24860146746056,[262],[0.14705801],-129.25186,3964588,3602336,768
35,gpt2,wikitext-512,50257,768,35,768,7075228,[262],[0.18507311],-81.17063877724738,[262],[0.18316042],-81.160225,4850887,5244684,768
36,gpt2,wikitext-512,50257,768,36,768,4401777,[422],[0.76033963],-48.60908946607079,[422],[0.7815797],-48.636635,3848456,3517292,768
37,gpt2,wikitext-512,50257,768,37,768,4882326,[12380],[0.11569577],-128.72873734794422,[12380],[0.09964944],-128.57942,4002018,3236652,768
38,gpt2,wikitext-512,50257,768,38,768,5213607,[284],[0.16632369],-100.43365855460458,[284],[0.16648799],-100.43465,4359981,3350929,768
39,gpt2,wikitext-512,50257,768,39,768,10854104,[837],[0.23199729],-66.85273687390813,[837],[0.20030421],-66.70584,3880018,4582937,768
40,gpt2,wikitext-512,50257,768,40,768,5531971,[468],[0.06489943],-102.60926080104919,[468],[0.05496604],-102.44312,3843032,3660364,768
41,gpt2,wikitext-512,50257,768,41,768,7976295,[309],[0.11143322],-97.90248721544872,[309],[0.13144194],-98.06761,4375768,3433837,768
42,gpt2,wikitext-512,50257,768,42,768,5125543,[318],[0.2124266],-105.82386523832974,[318],[0.24337137],-105.95985,4002446,4083576,768
43,gpt2,wikitext-512,50257,768,43,768,5731085,[262],[0.71935562],-56.75174679697642,[262],[0.6850435],-56.702866,4206842,3619561,768
44,gpt2,wikitext-512,50257,768,44,768,4741288,[9621],[0.99977597],-213.56699090932932,[9621],[0.99987197],-213.56708,3826267,3803263,768
45,gpt2,wikitext-512,50257,768,45,768,4626950,[17186],[0.32511263],-62.0430652695471,[17186],[0.30341512],-61.974022,4939770,4248185,768
46,gpt2,wikitext-512,50257,768,46,768,7044760,[366],[0.02614776],-101.89128673240215,[366],[0.03177372],-102.08615,4752263,3868189,768
47,gpt2,wikitext-512,50257,768,47,768,5365921,[837],[0.27393346],-64.72705681622965,[837],[0.262001],-64.682495,4428119,5196134,768
48,gpt2,wikitext-512,50257,768,48,768,5075063,[12],[0.91212064],134.5056945702622,[12],[0.9605215],134.45403,4062456,4601005,768
49,gpt2,wikitext-512,50257,768,49,768,4025822,[12],[0.97673533],-233.65155503874206,[12],[0.96562886],-233.6401,3848630,3709267,768
50,gpt2,wikitext-512,50257,768,50,768,4714278,[1588],[0.11188502],-110.37815211287632,[1588],[0.08907951],-110.15022,4028658,3973574,768
51,gpt2,wikitext-512,50257,768,51,768,4982738,[339],[0.3881587],-61.6917395919522,[339],[0.40380162],-61.731216,4198992,3342400,768
52,gpt2,wikitext-512,50257,768,52,768,4587716,[286],[0.81296099],-67.72327146935231,[286],[0.81782633],-67.72923,4010971,3355630,768
53,gpt2,wikitext-512,50257,768,53,768,4804299,[16912],[0.99305352],-202.20346324059602,[16912],[0.9984769],-202.2089,3844663,4987915,768
54,gpt2,wikitext-512,50257,768,54,768,4393810,[262],[0.28164056],-115.29404121469358,[262],[0.28050208],-115.28999,3911710,3340267,768
55,gpt2,wikitext-512,50257,768,55,768,5095629,[45826],[0.99642935],-53.82508964747263,[45826],[0.99970967],-53.82839,3867717,3466959,768
56,gpt2,wikitext-512,50257,768,56,768,4652766,[550],[0.14288203],-99.76405712280618,[550],[0.15941064],-99.87349,4193711,3035839,768
57,gpt2,wikitext-512,50257,768,57,768,6311375,[262],[0.53293596],-81.15770959288955,[262],[0.54169875],-81.174034,4409953,4971030,768
58,gpt2,wikitext-512,50257,768,58,768,3862543,[198],[0.99910718],-251.70091952971845,[198],[0.9993943],-251.70119,3821867,3209413,768
59,gpt2,wikitext-512,50257,768,59,768,5217478,[482],[0.99923525],-216.0628946296097,[482],[0.9994541],-216.0631,3890146,5571537,768
60,gpt2,wikitext-512,50257,768,60,768,8454423,[350],[0.03848452],-71.04126035553519,[350],[0.03960471],-71.06996,3997303,5709505,768
61,gpt2,wikitext-512,50257,768,61,768,7280143,[628],[0.9087955],114.86920238647443,[628],[0.94251376],114.83278,4848461,3774497,768
62,gpt2,wikitext-512,50257,768,62,768,6186077,[286],[0.28313458],-101.15902735117871,[286],[0.2486767],-101.029236,4024959,4924015,768
63,gpt2,wikitext-512,50257,768,63,768,4866674,[423],[0.56143845],-8.31908343088572,[423],[0.52060467],-8.243576,3891381,4262234,768
64,gpt2,wikitext-512,50257,768,64,768,6564706,[6215],[0.068858],-90.19625463106603,[6215],[0.0623713],-90.09731,4131270,4445278,768
65,gpt2,wikitext-512,50257,768,65,768,5697945,[12313],[0.16728303],-92.11350507452428,[12313],[0.1218809],-91.79686,4880363,3671239,768
66,gpt2,wikitext-512,50257,768,66,768,4677615,[679],[0.17295762],-133.26030598909216,[679],[0.1867265],-133.3369,4569054,4198630,768
67,gpt2,wikitext-512,50257,768,67,768,6691120,[220],[0.12758562],-125.89587398344669,[220],[0.12164232],-125.848145,4486622,3483735,768
68,gpt2,wikitext-512,50257,768,68,768,5700946,[837],[0.19154798],-113.3656859824726,[837],[0.17317376],-113.26484,3897187,3786462,768
69,gpt2,wikitext-512,50257,768,69,768,4596194,[506],[0.96000428],-206.93305941926218,[506],[0.96001506],-206.93307,3832848,3512569,768
70,gpt2,wikitext-512,50257,768,70,768,7942270,[625],[0.1242074],-127.31615977459424,[625],[0.11967793],-127.27903,4230090,4709602,768
71,gpt2,wikitext-512,50257,768,71,768,6767054,[717],[0.05914924],-109.9970308279273,[717],[0.06024064],-110.01533,4394333,4161389,768
72,gpt2,wikitext-512,50257,768,72,768,5823553,[257],[0.23391973],-113.82943405420279,[257],[0.26556164],-113.95632,4315934,3527245,768
73,gpt2,wikitext-512,50257,768,73,768,3955483,[7916],[0.95897888],-46.46004782788903,[7916],[0.9576264],-46.45864,3820316,2387583,768
