model,dataset,n,d,query,d_not_sparse,budget_total,best_arm_hat,p_hat_best_arm_hat,log_S_hat,best_arm,p_best_arm,log_S,budget_log_norm_estimation,budget_best_arms,budget_estimate_best_arm
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,0,4096,85592591,[1933],[0.31330934],17.537904595550188,[1933],[0.35316083],17.41817,52476626,73779768,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,1,4096,65504976,[8248],[0.21224847],17.8276351344336,[8248],[0.23200694],17.738632,52514572,41024573,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,2,4096,77318729,[8931],[0.08726008],18.452137385380247,[8931],[0.10267805],18.289429,52487098,64474195,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,3,4096,81117277,[814],[0.52721747],19.554790213265438,[814],[0.6018862],19.422337,52501699,58561493,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,4,4096,69125338,[366],[0.41953211],18.12413508090218,[366],[0.45079413],18.05227,52462494,35895890,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,5,4096,70442514,[1051],[0.26369241],17.548120886761165,[1051],[0.26892507],17.528475,52474771,52665720,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,6,4096,72027848,[29],[0.96728386],25.350508759201887,[29],[0.9652457],25.352613,52555162,53313903,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,7,4096,82640967,[779],[0.14108736],17.278400517039504,[779],[0.15176457],17.205452,52458371,61818793,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,8,4096,74282246,[1820],[0.32872104],18.737854772603022,[1820],[0.32259256],18.756674,52478533,50770166,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,9,4096,70312195,[14640],[0.36914397],19.171445726693488,[14640],[0.36649388],19.178654,52464766,41332225,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,10,4096,101285934,[3492],[0.7492891],20.466599370854855,[3492],[0.79447925],20.408037,52567226,79685870,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,11,4096,68539220,[452],[0.14272436],18.973512444267776,[452],[0.15045382],18.920763,52460942,56511110,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,12,4096,79483698,[912],[0.25029291],19.365481545104082,[912],[0.26790553],19.29748,52525661,58517737,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,13,4096,81328094,[271],[0.29167277],19.4438861212895,[271],[0.28243372],19.47608,52545914,62098273,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,14,4096,76805301,[13],[0.37930301],18.29034274294469,[13],[0.37836722],18.292812,52478410,54373766,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,15,4096,73412412,[555],[0.3508329],22.40865890807512,[555],[0.3452182],22.424797,52542061,52540550,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,16,4096,72441956,[54079],[0.24593748],20.938105028297112,[54079],[0.24714199],20.93322,52473915,59330758,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,17,4096,61724961,[424],[0.91085478],22.04619543924801,[424],[0.93813384],22.016691,52462447,49174153,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,18,4096,64309745,[387],[0.40408934],20.86581318637145,[387],[0.39514375],20.8882,52461689,50229511,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,19,4096,76392366,[1027],[0.39001253],18.49388736678804,[1027],[0.3969575],18.476234,52555883,71314471,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,20,4096,115290690,[271],[0.9439682],20.245477508004818,[271],[0.95327747],20.235668,52549253,77213624,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,21,4096,64153087,[3200],[0.99926321],26.075199949637074,[3200],[0.99985933],26.074604,52462240,48621252,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,22,4096,94809686,[11380],[0.18513435],17.69320615397396,[11380],[0.18694647],17.683464,52504818,43706068,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,23,4096,80960163,[5526],[0.18391244],18.903981233290107,[5526],[0.1961476],18.839571,52545892,50324879,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,24,4096,84938741,[264],[0.70173539],21.288250402774533,[264],[0.71916276],21.263727,52480848,67246850,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,25,4096,80650427,[649],[0.47284829],21.30674281771426,[649],[0.46912232],21.314642,52505189,56562260,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,26,4096,95077308,[271],[0.83148507],20.202783813714987,[271],[0.8605575],20.16842,52472674,61551346,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,27,4096,120539064,[9473],[0.62180082],18.383275637989414,[9473],[0.585057],18.444183,52514497,98164321,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,28,4096,68743458,[10711],[0.8412574],20.623985609189216,[10711],[0.84552956],20.618917,52514579,45828681,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,29,4096,81004423,[617],[0.19966598],18.044930119838384,[617],[0.19080716],18.090319,52473279,64736905,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,30,4096,95138877,[323],[0.34367245],18.47496093647522,[323],[0.3421563],18.479383,52462033,78548525,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,31,4096,78631626,[364],[0.42574077],18.694184190869443,[364],[0.4587426],18.619534,52482347,55113455,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,32,4096,97097677,[1071],[0.13274983],17.119349372919316,[1071],[0.15635447],16.955698,52540876,83722813,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,33,4096,85960518,[2163],[0.09827748],19.37785407892709,[2163],[0.09663602],19.394697,52515612,60253857,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,34,4096,98795844,[304],[0.62754475],21.13318996915175,[304],[0.6624667],21.079033,52596414,76144926,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,35,4096,115036984,[1306],[0.37869891],18.673549454606576,[1306],[0.38683316],18.652304,52529776,81630343,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,36,4096,66505961,[4832],[0.21414636],19.159232932930134,[4832],[0.24401937],19.028652,52463076,50603825,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,37,4096,68767787,[19655],[0.39821605],20.858796537508994,[19655],[0.37572747],20.916925,52473870,58645323,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,38,4096,67996833,[366],[0.23641284],16.242417142079535,[366],[0.2829657],16.06268,52577261,45795362,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,39,4096,85585584,[315],[0.67477736],21.291636411961488,[315],[0.7196484],21.227259,52515432,73579085,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,40,4096,91623174,[6763],[0.16802438],17.77008303601945,[6763],[0.16655128],17.778885,52494257,67893479,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,41,4096,60817348,[5811],[0.18269652],18.476971227445652,[5811],[0.19735827],18.399775,52466814,49316767,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,42,4096,72532029,[527],[0.21137817],19.78600193249307,[527],[0.214341],19.772078,52489165,63355778,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,43,4096,78838827,[315],[0.97688732],22.429912444251226,[315],[0.9890956],22.41749,52524434,70340932,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,44,4096,58551731,[29],[0.89297735],24.491491869386792,[29],[0.8901014],24.49472,52458371,43480120,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,45,4096,57449218,[9232],[0.29312459],19.400161685311296,[9232],[0.30468005],19.361502,52458371,33017630,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,46,4096,71615927,[279],[0.41496985],19.624451072352905,[279],[0.45418224],19.53416,52465196,50505548,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,47,4096,68376355,[366],[0.26347954],17.313980318525754,[366],[0.27639616],17.266125,52502486,47127772,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,48,4096,67878287,[29],[0.99532711],24.61270653515649,[29],[0.9947312],24.613302,52557909,50697435,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,49,4096,61877977,[29],[0.99101052],24.969332482585713,[29],[0.9895908],24.970768,52505609,46513190,4096
meta-llama_Meta-Llama-3-8B,penn_treebank,128256,4096,50,4096,56641681,[1541],[0.60809186],23.86111112272936,[1541],[0.5881486],23.89445,52461066,45578561,4096
