,model,dataset,n,d,query,d_not_sparse,budget_total,best_arm_hat,p_hat_best_arm_hat,log_S_hat,best_arm,p_best_arm,log_S,budget_log_norm_estimation,budget_best_arms,budget_estimate_best_arm
0,google_gemma-7b,penn_treebank_512,256000,3072,0,3072,185589400,[207458],[0.98827566],5.527534009341342,[207458],[0.98866194],5.5271077,78592309,131282452,3072
1,google_gemma-7b,penn_treebank_512,256000,3072,1,3072,203004299,[32831],[0.10807241],-38.002245742369425,[32831],[0.10608124],-37.983616,78592000,207340631,3072
2,google_gemma-7b,penn_treebank_512,256000,3072,2,3072,218707544,[50491],[0.34224795],35.222427326060014,[50491],[0.34166265],35.224167,78592720,203263974,3072
3,google_gemma-7b,penn_treebank_512,256000,3072,3,3072,210540289,[137496],[0.2348794],-26.896135010061656,[137496],[0.22800381],-26.866423,78592000,127470137,3072
4,google_gemma-7b,penn_treebank_512,256000,3072,4,3072,214673663,[4232],[0.87313978],52.54991285401473,[4232],[0.8923083],52.52818,78592208,217134844,3072
5,google_gemma-7b,penn_treebank_512,256000,3072,5,3072,229411061,[170762],[0.62868781],-28.490677277793857,[170762],[0.6298158],-28.492496,78592309,168608432,3072
6,google_gemma-7b,penn_treebank_512,256000,3072,6,3072,107744538,[137451],[0.45183973],35.041017409973556,[207458],[0.9996561],43.02031,78592309,70427572,3072
7,google_gemma-7b,penn_treebank_512,256000,3072,7,3072,167890350,[5512],[0.673389],2.3686643741573694,[5512],[0.67512566],2.366099,78592000,209360978,3072
8,google_gemma-7b,penn_treebank_512,256000,3072,8,3072,320719463,[573],[0.28208043],18.003796607814706,[573],[0.30167338],17.93663,78592309,257482960,3072
9,google_gemma-7b,penn_treebank_512,256000,3072,9,3072,226410532,[235265],[0.38785369],22.907904383686812,[235265],[0.39217708],22.896854,78592413,183149818,3072
10,google_gemma-7b,penn_treebank_512,256000,3072,10,3072,181037944,[577],[0.34865033],80.85847244728077,[577],[0.36310422],80.81781,78592309,207151373,3072
11,google_gemma-7b,penn_treebank_512,256000,3072,11,3072,160929793,[218217],[0.4009633],-9.200462083834632,[218217],[0.37861767],-9.143124,78592413,126845511,3072
12,google_gemma-7b,penn_treebank_512,256000,3072,12,3072,159459617,[7501],[0.99910184],-7.8470638156634225,[7501],[0.997912],-7.845876,78592413,128903872,3072
13,google_gemma-7b,penn_treebank_512,256000,3072,13,3072,279886826,[235265],[0.2559465],17.488023351458516,[235265],[0.28127956],17.393633,78592309,243520084,3072
14,google_gemma-7b,penn_treebank_512,256000,3072,14,3072,204774244,[235256],[0.98457082],-23.08745500593712,[235256],[0.9832718],-23.0861,78592309,145369077,3072
15,google_gemma-7b,penn_treebank_512,256000,3072,15,3072,226175684,[4998],[0.99744032],-8.11757807206499,[4998],[0.9971935],-8.117301,78592309,197351803,3072
16,google_gemma-7b,penn_treebank_512,256000,3072,16,3072,188907665,[235265],[0.39109909],4.682899659623478,[235265],[0.38788223],4.6911526,78592309,154591615,3072
17,google_gemma-7b,penn_treebank_512,256000,3072,17,3072,191462005,[5255],[0.9940242],25.63156974224817,[5255],[0.99435556],25.631214,78592309,184215211,3072
18,google_gemma-7b,penn_treebank_512,256000,3072,18,3072,248815226,[577],[0.6937992],-47.273045769562806,[577],[0.6127546],-47.148857,78592309,232375838,3072
19,google_gemma-7b,penn_treebank_512,256000,3072,19,3072,261003999,[573],[0.63235267],42.6789310273869,[573],[0.63201565],42.679466,78592309,252551632,3072
20,google_gemma-7b,penn_treebank_512,256000,3072,20,3072,240246524,[2257],[0.67308354],17.976156594378818,[2257],[0.69163835],17.94895,78592309,240264841,3072
21,google_gemma-7b,penn_treebank_512,256000,3072,21,3072,265949611,[235265],[0.57140556],9.471696772994159,[235265],[0.5112791],9.582876,78592930,250020511,3072
22,google_gemma-7b,penn_treebank_512,256000,3072,22,3072,233114894,[220302],[0.99984053],27.774958832006185,[220302],[0.99979705],27.774994,78592309,139775725,3072
23,google_gemma-7b,penn_treebank_512,256000,3072,23,3072,213524880,[235265],[0.39197014],36.579574974557765,[235265],[0.3877345],36.59046,78592104,205090876,3072
24,google_gemma-7b,penn_treebank_512,256000,3072,24,3072,103247795,[218217],[0.62272856],-17.18061417060418,[218217],[0.62054485],-17.177088,78592000,97692595,3072
25,google_gemma-7b,penn_treebank_512,256000,3072,25,3072,178571374,[46770],[0.48819463],-45.85731495923154,[46770],[0.4785443],-45.83735,78592309,142763626,3072
26,google_gemma-7b,penn_treebank_512,256000,3072,26,3072,252448039,[235256],[0.84811892],-20.840154116095622,[235256],[0.8645431],-20.859322,78592309,214796652,3072
27,google_gemma-7b,penn_treebank_512,256000,3072,27,3072,97361487,[207458],[0.87828136],-9.726178281716054,[207458],[0.8770865],-9.724796,78592309,86784817,3072
28,google_gemma-7b,penn_treebank_512,256000,3072,28,3072,271980367,[235265],[0.71102899],23.859562435664934,[235265],[0.69308907],23.885136,78592309,262374896,3072
29,google_gemma-7b,penn_treebank_512,256000,3072,29,3072,213927104,[5453],[0.95649999],-28.029421906745505,[5453],[0.97046936],-28.04392,78592413,196450208,3072
30,google_gemma-7b,penn_treebank_512,256000,3072,30,3072,181051606,[137451],[0.84155895],-17.509232963373748,[137451],[0.83428615],-17.500526,78592104,149559919,3072
31,google_gemma-7b,penn_treebank_512,256000,3072,31,3072,290229948,[8363],[0.98025379],-45.5919794422804,[8363],[0.9862395],-45.59808,78592309,279395850,3072
32,google_gemma-7b,penn_treebank_512,256000,3072,32,3072,205046461,[218217],[0.85566666],-4.809007974398254,[218217],[0.8533711],-4.806302,78592309,184908011,3072
33,google_gemma-7b,penn_treebank_512,256000,3072,33,3072,244213091,[4887],[0.21167033],-28.900325374722282,[4887],[0.21727197],-28.926455,78592309,204444924,3072
34,google_gemma-7b,penn_treebank_512,256000,3072,34,3072,236621743,[1104],[0.88308815],-49.55113437969093,[1104],[0.8911327],-49.56022,78592208,238270564,3072
35,google_gemma-7b,penn_treebank_512,256000,3072,35,3072,238887860,[4638],[0.98692662],-0.11906783573307934,[4638],[0.98472506],-0.11681127,78592309,236137182,3072
36,google_gemma-7b,penn_treebank_512,256000,3072,36,3072,253673187,[235265],[0.72144644],18.217587534552496,[235265],[0.7314652],18.203796,78592616,249239236,3072
37,google_gemma-7b,penn_treebank_512,256000,3072,37,3072,184922445,[3838],[0.97006359],-6.234849878907285,[3838],[0.9894694],-6.254664,78592104,184874227,3072
38,google_gemma-7b,penn_treebank_512,256000,3072,38,3072,181625648,[606],[0.24213881],-18.108073458070585,[606],[0.2383147],-18.092186,78592309,154768342,3072
39,google_gemma-7b,penn_treebank_512,256000,3072,39,3072,245111071,[1359],[0.99556314],-30.297936689863583,[1359],[0.9974322],-30.299812,78592208,235007193,3072
40,google_gemma-7b,penn_treebank_512,256000,3072,40,3072,212875763,[235265],[0.52646778],10.460582549442728,[235265],[0.5324858],10.449228,78592000,237483896,3072
41,google_gemma-7b,penn_treebank_512,256000,3072,41,3072,203244002,[235265],[0.39562172],-4.847316598394644,[235265],[0.40029925],-4.8590765,78592000,195377397,3072
42,google_gemma-7b,penn_treebank_512,256000,3072,42,3072,222044962,[235265],[0.32959099],-9.067014263913935,[235265],[0.3220122],-9.04377,78592104,223382827,3072
43,google_gemma-7b,penn_treebank_512,256000,3072,43,3072,173746793,[207458],[0.87230483],6.37527524852108,[207458],[0.87230915],6.37526,78592309,126506718,3072
44,google_gemma-7b,penn_treebank_512,256000,3072,44,3072,221818342,[94681],[0.99604351],6.722342402826456,[94681],[0.9965133],6.721864,78592309,202533275,3072
45,google_gemma-7b,penn_treebank_512,256000,3072,45,3072,193141749,[1160],[0.65464825],-16.65656778450732,[1160],[0.6290613],-16.616705,78592104,183328836,3072
46,google_gemma-7b,penn_treebank_512,256000,3072,46,3072,208818729,[1163],[0.99867786],-28.760857318295347,[1163],[0.9986014],-28.760767,78592618,198989136,3072
47,google_gemma-7b,penn_treebank_512,256000,3072,47,3072,189668694,[7094],[0.7703376],-24.302487199663776,[7094],[0.8323077],-24.379885,78592309,186988720,3072
48,google_gemma-7b,penn_treebank_512,256000,3072,48,3072,210756625,[1154],[0.14684278],-21.810963967438138,[1154],[0.14735669],-21.814466,78592309,183205429,3072
49,google_gemma-7b,penn_treebank_512,256000,3072,49,3072,221604974,[9591],[0.90401844],21.123259641504607,[9591],[0.9064567],21.120577,78592309,207210012,3072
50,google_gemma-7b,penn_treebank_512,256000,3072,50,3072,249895455,[218217],[0.80971084],-26.40598162411525,[218217],[0.7989318],-26.392584,78592309,220526199,3072
51,google_gemma-7b,penn_treebank_512,256000,3072,51,3072,267661515,[235265],[0.67184023],3.6342764681502238,[235265],[0.65591294],3.658228,78592309,249451509,3072
52,google_gemma-7b,penn_treebank_512,256000,3072,52,3072,189645996,[235265],[0.6577177],19.31422788229232,[235265],[0.7336498],19.204967,78592309,179984157,3072
53,google_gemma-7b,penn_treebank_512,256000,3072,53,3072,234603903,[1490],[0.57931388],-39.87666605878627,[1490],[0.57678396],-39.872284,78592618,217704464,3072
54,google_gemma-7b,penn_treebank_512,256000,3072,54,3072,175671484,[218217],[0.57728062],-18.58242821596398,[218217],[0.5277351],-18.492722,78592309,153328601,3072
55,google_gemma-7b,penn_treebank_512,256000,3072,55,3072,185355138,[1180],[0.97576086],-15.458847343579443,[1180],[0.9836193],-15.466887,78592104,172887161,3072
56,google_gemma-7b,penn_treebank_512,256000,3072,56,3072,170766192,[121476],[0.50516222],-11.665768580417655,[121476],[0.4588722],-11.569684,78592309,110718721,3072
57,google_gemma-7b,penn_treebank_512,256000,3072,57,3072,192861891,[646],[0.71536478],-22.301942984390454,[646],[0.65156376],-22.208523,78592722,198638340,3072
58,google_gemma-7b,penn_treebank_512,256000,3072,58,3072,254747281,[575],[0.76747501],-20.22051146504841,[575],[0.7599052],-20.210623,78592309,77941331,3072
59,google_gemma-7b,penn_treebank_512,256000,3072,59,3072,221786228,[235265],[0.74820433],51.51855664451434,[235265],[0.7159192],51.562645,78592000,210039396,3072
60,google_gemma-7b,penn_treebank_512,256000,3072,60,3072,99601264,[137496],[0.2496372],-29.65515345353713,[919],[0.7644797],-27.967733,78592000,90061216,3072
61,google_gemma-7b,penn_treebank_512,256000,3072,61,3072,184765698,[3371],[0.65667959],-17.280553680613874,[3371],[0.6587068],-17.283642,78592309,159021158,3072
62,google_gemma-7b,penn_treebank_512,256000,3072,62,3072,241998525,[1706],[0.84437115],-36.25735816901882,[1706],[0.851217],-36.265396,78592309,251767760,3072
63,google_gemma-7b,penn_treebank_512,256000,3072,63,3072,228010354,[12025],[0.97959506],-0.6003556836473973,[12025],[0.98450863],-0.60536665,78592309,195531724,3072
64,google_gemma-7b,penn_treebank_512,256000,3072,64,3072,186986790,[573],[0.69914629],-4.85082588263103,[573],[0.6924584],-4.8412113,78592616,168468359,3072
65,google_gemma-7b,penn_treebank_512,256000,3072,65,3072,207036621,[53901],[0.39765681],-24.014592120302602,[53901],[0.39673573],-24.012285,78592309,203163819,3072
66,google_gemma-7b,penn_treebank_512,256000,3072,66,3072,168034528,[46770],[0.71998875],-47.31439031366176,[46770],[0.70989525],-47.30029,78592309,142522149,3072
67,google_gemma-7b,penn_treebank_512,256000,3072,67,3072,249532078,[7435],[0.62615362],3.9453762629643294,[7435],[0.64558965],3.9148717,78592309,234469536,3072
68,google_gemma-7b,penn_treebank_512,256000,3072,68,3072,146256562,[3757],[0.99831763],-34.233042167878864,[3757],[0.99891126],-34.233692,78592104,145027757,3072
