,model,dataset,n,d,query,d_not_sparse,budget_total,best_arm_hat,p_hat_best_arm_hat,log_S_hat,best_arm,p_best_arm,log_S,budget_log_norm_estimation,budget_best_arms,budget_estimate_best_arm
0,gpt2,penn_treebank_512,50257,768,0,768,4543716,[2954],[0.97616661],-213.4631521708131,[2954],[0.9881691],-213.47537,3851395,3423734,768
1,gpt2,penn_treebank_512,50257,768,1,768,6242834,[13],[0.56032137],-9.39198189901906,[13],[0.54115444],-9.357179,4037861,2877076,768
2,gpt2,penn_treebank_512,50257,768,2,768,4848140,[1279],[0.11477169],-93.5028531639867,[1279],[0.10978597],-93.45844,3943798,4000233,768
3,gpt2,penn_treebank_512,50257,768,3,768,4315786,[13423],[0.15155653],-108.2823242095239,[13423],[0.15342157],-108.29453,3965803,3114992,768
4,gpt2,penn_treebank_512,50257,768,4,768,4958012,[416],[0.16923375],-118.39625511673138,[416],[0.1822154],-118.47013,3945421,3189414,768
5,gpt2,penn_treebank_512,50257,768,5,768,4812728,[11115],[0.17946997],-110.19820722193333,[11115],[0.14295657],-109.97074,3891988,3436982,768
6,gpt2,penn_treebank_512,50257,768,6,768,6822799,[262],[0.03818325],-118.52187315227849,[262],[0.03516651],-118.43958,3971324,4040358,768
7,gpt2,penn_treebank_512,50257,768,7,768,4504801,[416],[0.46693892],-99.00199298351413,[416],[0.5348789],-99.137856,3904681,3523746,768
8,gpt2,penn_treebank_512,50257,768,8,768,5580119,[12],[0.61360659],138.70013224882084,[12],[0.6628133],138.62296,3919297,2743677,768
9,gpt2,penn_treebank_512,50257,768,9,768,4168548,[284],[0.96334473],139.1840114324024,[284],[0.9754204],139.17162,3980383,2981961,768
10,gpt2,penn_treebank_512,50257,768,10,768,4887748,[198],[0.14475927],-77.13865168636377,[198],[0.12444495],-76.98744,3867046,2641722,768
11,gpt2,penn_treebank_512,50257,768,11,768,5816240,[546],[0.79134958],76.93411922632541,[546],[0.82636625],76.89082,3894353,4099363,768
12,gpt2,penn_treebank_512,50257,768,12,768,5007930,[340],[0.25851168],-103.52493216308993,[340],[0.2923164],-103.64784,3927716,3272870,768
13,gpt2,penn_treebank_512,50257,768,13,768,5788659,[198],[0.26230102],-91.12496380432076,[198],[0.30491665],-91.2755,3891822,3733460,768
14,gpt2,penn_treebank_512,50257,768,14,768,4546925,[373],[0.17829763],-120.53212292621188,[373],[0.16507588],-120.455055,4118745,2867009,768
15,gpt2,penn_treebank_512,50257,768,15,768,6829458,[13],[0.60668883],-45.42223493153701,[13],[0.61428005],-45.434673,4075338,3681410,768
16,gpt2,penn_treebank_512,50257,768,16,768,4785475,[1279],[0.33411615],-108.2496501590097,[1279],[0.3258097],-108.22446,3988902,2702839,768
17,gpt2,penn_treebank_512,50257,768,17,768,5379673,[286],[0.46381242],-94.57397955392094,[286],[0.48128366],-94.61097,4029960,3638065,768
18,gpt2,penn_treebank_512,50257,768,18,768,5559664,[262],[0.07653261],-133.98644966469368,[262],[0.07670946],-133.98875,3875121,3794952,768
19,gpt2,penn_treebank_512,50257,768,19,768,5606638,[13],[0.55527429],97.98528861112212,[13],[0.58731455],97.92918,3899866,3220788,768
20,gpt2,penn_treebank_512,50257,768,20,768,4936607,[27],[0.30253872],-88.72944178967694,[27],[0.2919272],-88.69373,4030873,2911267,768
21,gpt2,penn_treebank_512,50257,768,21,768,5229407,[1279],[0.20502693],-112.40491089612124,[1279],[0.2087417],-112.42286,4394116,4087105,768
22,gpt2,penn_treebank_512,50257,768,22,768,3821604,[198],[0.99719175],-252.20647735472022,[198],[0.99971133],-252.20898,3819730,3074215,768
23,gpt2,penn_treebank_512,50257,768,23,768,4766544,[587],[0.12557311],-122.0052567978025,[587],[0.16285416],-122.265144,4030465,2838009,768
24,gpt2,penn_treebank_512,50257,768,24,768,4421146,[29],[0.9776737],147.34688960298405,[29],[0.98831207],147.33606,4669590,3556617,768
25,gpt2,penn_treebank_512,50257,768,25,768,4744269,[389],[0.09690298],-126.7294773233244,[389],[0.1139128],-126.89121,4092210,3939135,768
26,gpt2,penn_treebank_512,50257,768,26,768,6523973,[198],[0.14663963],-118.89495824088208,[198],[0.14728072],-118.89933,4027031,2898368,768
27,gpt2,penn_treebank_512,50257,768,27,768,6944262,[1279],[0.17181073],-95.03815295126269,[1279],[0.13957903],-94.830376,3822949,3434219,768
28,gpt2,penn_treebank_512,50257,768,28,768,10040716,[20983],[0.05095736],-120.23623898100458,[20983],[0.04900882],-120.19723,3914835,2900528,768
29,gpt2,penn_treebank_512,50257,768,29,768,4309944,[198],[0.18272245],-124.96516817194686,[198],[0.21429943],-125.124565,3839905,3568903,768
30,gpt2,penn_treebank_512,50257,768,30,768,5387721,[1279],[0.13192539],-121.31643068497166,[1279],[0.13088232],-121.30849,4005388,3784889,768
31,gpt2,penn_treebank_512,50257,768,31,768,5036279,[286],[0.24361303],-94.22288127249027,[286],[0.24464577],-94.22711,3941180,2574977,768
32,gpt2,penn_treebank_512,50257,768,32,768,4241670,[657],[0.06508599],-154.8284704489972,[657],[0.07006338],-154.90213,3878825,3172672,768
33,gpt2,penn_treebank_512,50257,768,33,768,4699829,[198],[0.23210868],-112.99927405089514,[198],[0.25928146],-113.109985,3990991,3414695,768
34,gpt2,penn_treebank_512,50257,768,34,768,5305569,[198],[0.20309887],-88.01763195635574,[198],[0.23554718],-88.165855,3958007,4179324,768
