,model,dataset,n,d,query,d_not_sparse,budget_total,best_arm_hat,p_hat_best_arm_hat,log_S_hat,best_arm,p_best_arm,log_S,budget_log_norm_estimation,budget_best_arms,budget_estimate_best_arm
0,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,0,4096,41541511,[1933],[0.33732162],17.464058773079675,[1933],[0.35316083],17.41817,6925851,35560011,4096
1,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,1,4096,18106177,[83],[0.16732504],17.419501326186754,[8248],[0.23200694],17.738632,4617234,17028258,4096
2,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,2,4096,39067464,[8931],[0.07744223],18.571498146949622,[8931],[0.10267805],18.289429,6925851,37919267,4096
3,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,3,4096,31049474,[814],[0.52920084],19.55103721810147,[814],[0.6018862],19.422337,4617306,30799049,4096
4,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,4,4096,24160171,[366],[0.41583768],18.132980148094532,[366],[0.45079413],18.05227,4617234,23545803,4096
5,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,5,4096,28505786,[1051],[0.26550517],17.541269885881835,[1051],[0.26892507],17.528475,4617234,27658744,4096
6,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,6,4096,36779782,[29],[0.9685919],25.34915739817523,[29],[0.9652457],25.352613,4617234,33570587,4096
7,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,7,4096,34569632,[779],[0.16721412],17.108504607653074,[779],[0.15176457],17.205452,4617279,37548899,4096
8,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,8,4096,28157100,[1820],[0.33743064],18.71170429155322,[1820],[0.32259256],18.756674,4617234,27464647,4096
9,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,9,4096,25014462,[5718],[0.22327245],18.943618322536842,[14640],[0.36649388],19.178654,4617437,21797645,4096
10,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,10,4096,44827659,[3492],[0.75093925],20.464399507423444,[3492],[0.79447925],20.408037,4617234,40490006,4096
11,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,11,4096,24401609,[452],[0.16517867],18.82739989598587,[452],[0.15045382],18.920763,4617234,23813849,4096
12,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,12,4096,31247500,[912],[0.24935408],19.369239511509257,[912],[0.26790553],19.29748,3078174,30076747,4096
13,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,13,4096,39369551,[271],[0.28959697],19.451028470455277,[271],[0.28243372],19.47608,3078201,36418034,4096
14,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,14,4096,33981859,[13],[0.39178948],18.25795346552436,[13],[0.37836722],18.292812,3078201,29049837,4096
15,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,15,4096,30995205,[555],[0.35196193],22.405445944168452,[555],[0.3452182],22.424797,4617261,28819925,4096
16,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,16,4096,29279693,[54079],[0.25226858],20.91267471314771,[54079],[0.24714199],20.93322,4617306,26216079,4096
17,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,17,4096,33516252,[7403],[0.38554032],19.24637579209469,[424],[0.93813384],22.016691,3078302,33422235,4096
18,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,18,4096,33418683,[387],[0.40200058],20.870995667045307,[387],[0.39514375],20.8882,6925851,29537105,4096
19,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,19,4096,42315996,[1027],[0.40748547],18.450060957349027,[1027],[0.3969575],18.476234,6925892,41373339,4096
20,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,20,4096,46264703,[271],[0.94183343],20.247741562644265,[271],[0.95327747],20.235668,6925878,39939148,4096
21,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,21,4096,29917022,[3200],[0.99920351],26.075259694391764,[3200],[0.99985933],26.074604,4617383,29025624,4096
22,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,22,4096,25146811,[11380],[0.21013911],17.5665181902327,[11380],[0.18694647],17.683464,6925824,19849728,4096
23,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,23,4096,28513763,[19411],[0.1883866],18.59378905121903,[5526],[0.1961476],18.839571,6925824,27008640,4096
24,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,24,4096,41367157,[264],[0.70273643],21.28682488786935,[264],[0.71916276],21.263727,3078174,39629018,4096
25,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,25,4096,33334483,[649],[0.47454473],21.30316153339219,[649],[0.46912232],21.314642,4617261,32960951,4096
26,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,26,4096,48340748,[271],[0.82247475],20.213679383264335,[271],[0.8605575],20.16842,6925851,45849809,4096
27,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,27,4096,37466298,[9473],[0.6405722],18.35353362303326,[9473],[0.585057],18.444183,4617252,35949514,4096
28,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,28,4096,27902106,[366],[0.24715884],18.95753279185345,[10711],[0.84552956],20.618917,4617234,28672760,4096
29,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,29,4096,40932784,[617],[0.20678882],18.00987792356401,[617],[0.19080716],18.090319,4617351,35391334,4096
30,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,30,4096,38999461,[323],[0.34960298],18.45785941353518,[323],[0.3421563],18.479383,6925878,36171403,4096
31,meta-llama_Meta-Llama-3-8B,penn_treebank_512,128256,4096,31,4096,29149371,[574],[0.1994071],17.960593288003416,[364],[0.4587426],18.619534,4617234,31459284,4096
