,model,dataset,n,d,query,d_not_sparse,budget_total,best_arm_hat,p_hat_best_arm_hat,log_S_hat,best_arm,p_best_arm,log_S,budget_log_norm_estimation,budget_best_arms,budget_estimate_best_arm
0,mistralai_Mistral-7B-v0.1,penn_treebank_512,32000,4096,0,4096,5598878,[13],[0.97397603],17.235650502507642,[13],[0.99141735],17.217901,1152045,4349009,4096
1,mistralai_Mistral-7B-v0.1,penn_treebank_512,32000,4096,1,4096,7233509,[630],[0.33367713],13.967689084614724,[28705],[0.24021661],14.318724,1152036,6989843,4096
2,mistralai_Mistral-7B-v0.1,penn_treebank_512,32000,4096,2,4096,8900792,[400],[0.24934141],14.945553753804862,[400],[0.26880172],14.870405,1152018,8725767,4096
3,mistralai_Mistral-7B-v0.1,penn_treebank_512,32000,4096,3,4096,4870169,[28707],[0.99518553],18.816307574705146,[28707],[0.9987866],18.812696,512038,4867457,4096
4,mistralai_Mistral-7B-v0.1,penn_treebank_512,32000,4096,4,4096,6244188,[1753],[0.36615966],15.880948463200628,[1753],[0.35468104],15.912803,1152018,6337918,4096
5,mistralai_Mistral-7B-v0.1,penn_treebank_512,32000,4096,5,4096,5593491,[21542],[0.23293415],14.161263169219458,[21542],[0.20846175],14.272264,1152018,5051931,4096
6,mistralai_Mistral-7B-v0.1,penn_treebank_512,32000,4096,6,4096,8158258,[442],[0.57919942],15.095492557347509,[442],[0.5428896],15.160235,1152018,7313297,4096
7,mistralai_Mistral-7B-v0.1,penn_treebank_512,32000,4096,7,4096,4550131,[347],[0.17952697],15.326293637807694,[347],[0.16039029],15.439011,1152000,4536783,4096
8,mistralai_Mistral-7B-v0.1,penn_treebank_512,32000,4096,8,4096,8002634,[272],[0.51663055],14.60693375407375,[272],[0.5422965],14.558454,1728027,7789836,4096
9,mistralai_Mistral-7B-v0.1,penn_treebank_512,32000,4096,9,4096,8265755,[835],[0.06052167],14.35525756562429,[2942],[0.11832161],14.504144,1728068,8136077,4096
10,mistralai_Mistral-7B-v0.1,penn_treebank_512,32000,4096,10,4096,6057164,[298],[0.85794186],16.735646917641457,[298],[0.9080936],16.678835,768197,6055136,4096
11,mistralai_Mistral-7B-v0.1,penn_treebank_512,32000,4096,11,4096,6646920,[592],[0.94882818],16.88634026383168,[592],[0.9527192],16.882246,768012,7112910,4096
12,mistralai_Mistral-7B-v0.1,penn_treebank_512,32000,4096,12,4096,9492076,[7105],[0.0785699],13.166529263725735,[1274],[0.11518307],13.561932,1152000,8935311,4096
13,mistralai_Mistral-7B-v0.1,penn_treebank_512,32000,4096,13,4096,5116095,[821],[0.6951237],15.657521129070357,[821],[0.68373823],15.674035,1152000,5041334,4096
14,mistralai_Mistral-7B-v0.1,penn_treebank_512,32000,4096,14,4096,5596194,[7471],[0.9928377],17.90325664156254,[7471],[0.9486436],17.948793,1152000,5285879,4096
15,mistralai_Mistral-7B-v0.1,penn_treebank_512,32000,4096,15,4096,8990933,[264],[0.20801561],14.626366998118414,[264],[0.21867898],14.576375,1152063,9001153,4096
16,mistralai_Mistral-7B-v0.1,penn_treebank_512,32000,4096,16,4096,7373399,[5756],[0.42959823],15.282688095827352,[5756],[0.49728364],15.136387,1728000,5250660,4096
17,mistralai_Mistral-7B-v0.1,penn_treebank_512,32000,4096,17,4096,5171307,[14456],[0.40097882],12.878026662510944,[14456],[0.42269406],12.825284,1152000,6657000,4096
