model,dataset,n,d,query,d_not_sparse,budget_total,best_arm_hat,p_hat_best_arm_hat,log_S_hat,best_arm,p_best_arm,log_S,budget_log_norm_estimation,budget_best_arms,budget_estimate_best_arm
google_gemma-7b,penn_treebank,256000,3072,0,3072,181748429,[207458],[0.98772216],5.528080880097962,[207458],[0.98866194],5.5271077,78594765,84031021,3072
google_gemma-7b,penn_treebank,256000,3072,1,3072,141489439,[32831],[0.11457076],-38.060636937076154,[32831],[0.10608124],-37.983616,78596534,127350653,3072
google_gemma-7b,penn_treebank,256000,3072,2,3072,181515661,[50491],[0.34534739],35.213411953732276,[50491],[0.34166265],35.224167,78599431,134638584,3072
google_gemma-7b,penn_treebank,256000,3072,3,3072,146906644,[137496],[0.2608111],-27.00085922050313,[137496],[0.22800381],-26.866423,78595178,81823074,3072
google_gemma-7b,penn_treebank,256000,3072,4,3072,175969727,[4232],[0.85177188],52.57468977241757,[4232],[0.8923083],52.52818,78602374,169474154,3072
google_gemma-7b,penn_treebank,256000,3072,5,3072,172277542,[170762],[0.63925701],-28.50735857963265,[170762],[0.6298158],-28.492496,78603688,82258841,3072
google_gemma-7b,penn_treebank,256000,3072,6,3072,87160616,[229223],[0.57858851],34.43168141925404,[207458],[0.9996561],43.02031,78594765,38874906,3072
google_gemma-7b,penn_treebank,256000,3072,7,3072,126184975,[5512],[0.67248624],2.370005898049316,[5512],[0.67512566],2.366099,78594387,151454626,3072
google_gemma-7b,penn_treebank,256000,3072,8,3072,275857639,[573],[0.27789012],18.01876306604311,[573],[0.30167338],17.93663,78594765,170455040,3072
google_gemma-7b,penn_treebank,256000,3072,9,3072,194595232,[235265],[0.37481806],22.94208039279223,[235265],[0.39217708],22.896854,78602175,111133618,3072
google_gemma-7b,penn_treebank,256000,3072,10,3072,134617114,[577],[0.34727919],80.86241291771438,[577],[0.36310422],80.81781,78596843,151220837,3072
google_gemma-7b,penn_treebank,256000,3072,11,3072,126501900,[218217],[0.39336334],-9.181325904121882,[218217],[0.37861767],-9.143124,78605075,80020965,3072
google_gemma-7b,penn_treebank,256000,3072,12,3072,129299419,[7501],[0.99906968],-7.847031630138326,[7501],[0.997912],-7.845876,78600254,86968440,3072
google_gemma-7b,penn_treebank,256000,3072,13,3072,233012438,[235265],[0.24881983],17.516257013960626,[235265],[0.28127956],17.393633,78596618,142357310,3072
google_gemma-7b,penn_treebank,256000,3072,14,3072,155384495,[235256],[0.98471496],-23.087609028607808,[235256],[0.9832718],-23.0861,78597611,77665401,3072
google_gemma-7b,penn_treebank,256000,3072,15,3072,198425084,[4998],[0.99668052],-8.116816024430053,[4998],[0.9971935],-8.117301,78594765,139955046,3072
google_gemma-7b,penn_treebank,256000,3072,16,3072,154000084,[235265],[0.39906365],4.662730633200432,[235265],[0.38788223],4.6911526,78605407,128206926,3072
google_gemma-7b,penn_treebank,256000,3072,17,3072,156331637,[5255],[0.99693121],25.62865715554077,[5255],[0.99435556],25.631214,78596154,131350687,3072
google_gemma-7b,penn_treebank,256000,3072,18,3072,198816434,[577],[0.68687958],-47.26302218935179,[577],[0.6127546],-47.148857,78596541,180137166,3072
google_gemma-7b,penn_treebank,256000,3072,19,3072,205041922,[573],[0.63335564],42.67734619349412,[573],[0.63201565],42.679466,78607829,194022718,3072
google_gemma-7b,penn_treebank,256000,3072,20,3072,204165605,[2257],[0.65089169],18.009682785802493,[2257],[0.69163835],17.94895,78594765,190215463,3072
google_gemma-7b,penn_treebank,256000,3072,21,3072,215547271,[235265],[0.56902123],9.475891593386528,[235265],[0.5112791],9.582876,78627221,186231211,3072
google_gemma-7b,penn_treebank,256000,3072,22,3072,187763291,[220302],[0.99984193],27.774957434011327,[220302],[0.99979705],27.774994,78605614,66848815,3072
google_gemma-7b,penn_treebank,256000,3072,23,3072,174274679,[235265],[0.37301399],36.62913708195612,[235265],[0.3877345],36.59046,78594765,144907015,3072
google_gemma-7b,penn_treebank,256000,3072,24,3072,88243984,[218217],[0.71437054],-17.31789761478438,[218217],[0.62054485],-17.177088,78594765,65922129,3072
google_gemma-7b,penn_treebank,256000,3072,25,3072,132400427,[46770],[0.52303152],-45.92624252243264,[46770],[0.4785443],-45.83735,78595074,86207712,3072
