,model,dataset,n,d,query,d_not_sparse,budget_total,best_arm_hat,p_hat_best_arm_hat,log_S_hat,best_arm,p_best_arm,log_S,budget_log_norm_estimation,budget_best_arms,budget_estimate_best_arm
0,google_gemma-7b,wikitext-512,256000,3072,0,3072,219313707,[83202],[0.9987845],9.062954249773856,[83202],[0.99983335],9.061901,78593029,216990877,3072
1,google_gemma-7b,wikitext-512,256000,3072,1,3072,189592473,[738],[0.99998586],-15.06942574879046,[738],[0.9999939],-15.069431,78592309,187910499,3072
2,google_gemma-7b,wikitext-512,256000,3072,2,3072,255510894,[231255],[0.42107417],-16.693079084416226,[231255],[0.4177423],-16.68514,78592309,220615496,3072
3,google_gemma-7b,wikitext-512,256000,3072,3,3072,216930212,[30866],[0.99923402],-19.56358385383193,[30866],[0.9998447],-19.564163,78592309,225745384,3072
4,google_gemma-7b,wikitext-512,256000,3072,4,3072,260107954,[235265],[0.34581578],-37.988531641517035,[235265],[0.3429605],-37.98023,78592616,239253838,3072
5,google_gemma-7b,wikitext-512,256000,3072,5,3072,248101749,[17726],[0.98825523],9.258034871756475,[17726],[0.98972297],9.2565565,78592309,207377307,3072
6,google_gemma-7b,wikitext-512,256000,3072,6,3072,233332659,[954],[0.67136806],-16.38967295865002,[954],[0.65997005],-16.372543,78592618,183774420,3072
7,google_gemma-7b,wikitext-512,256000,3072,7,3072,227571071,[954],[0.98178767],-19.335728597422765,[954],[0.98197377],-19.335909,78592720,220774016,3072
8,google_gemma-7b,wikitext-512,256000,3072,8,3072,172215771,[218217],[0.40365427],-16.20638606622136,[218217],[0.38547304],-16.160303,78592104,211598830,3072
9,google_gemma-7b,wikitext-512,256000,3072,9,3072,233388262,[954],[0.9833609],-18.658414699936035,[954],[0.977081],-18.652029,78592208,247011772,3072
10,google_gemma-7b,wikitext-512,256000,3072,10,3072,251623414,[218217],[0.67595973],-12.990690040662649,[218217],[0.65403956],-12.957728,78592413,201525715,3072
11,google_gemma-7b,wikitext-512,256000,3072,11,3072,323037306,[664],[0.91007203],-14.577052189002558,[664],[0.92861474],-14.597232,78592104,304301634,3072
