,model,dataset,n,d,query,d_not_sparse,budget_total,best_arm_hat,p_hat_best_arm_hat,log_S_hat,best_arm,p_best_arm,log_S,budget_log_norm_estimation,budget_best_arms,budget_estimate_best_arm
0,gpt2,wikitext-512,50257,768,0,768,6759491,[390],[0.04149499],-83.36879694025451,[390],[0.03553482],-83.213745,4777826,5467427,768
1,gpt2,wikitext-512,50257,768,1,768,4659196,[373],[0.26215105],-94.38369213097502,[373],[0.2676987],-94.404625,3879943,2701551,768
2,gpt2,wikitext-512,50257,768,2,768,3826798,[198],[0.99903335],-251.27170744177866,[198],[0.9993767],-251.27205,3819822,3519408,768
3,gpt2,wikitext-512,50257,768,3,768,6035405,[40911],[0.08412571],-98.7376306519388,[40911],[0.08358098],-98.73115,4107856,3871808,768
4,gpt2,wikitext-512,50257,768,4,768,4390564,[2488],[0.60178522],-33.876502770246695,[2488],[0.5741354],-33.829468,3822914,3676004,768
5,gpt2,wikitext-512,50257,768,5,768,4774612,[764],[0.58600526],-58.837750603833605,[764],[0.61829203],-58.89138,3833861,3966425,768
6,gpt2,wikitext-512,50257,768,6,768,5204659,[284],[0.45567486],-58.283875169869326,[284],[0.4555022],-58.283493,4125346,3240534,768
7,gpt2,wikitext-512,50257,768,7,768,3822432,[198],[0.99931534],-252.17213614817462,[198],[0.99954814],-252.17235,3819822,3729451,768
8,gpt2,wikitext-512,50257,768,8,768,7751828,[31],[0.70027014],106.22562809481296,[31],[0.83120805],106.05423,3938682,3649674,768
9,gpt2,wikitext-512,50257,768,9,768,4500947,[351],[0.16634704],-126.38143080842228,[351],[0.13351136],-126.16153,3940013,2690015,768
10,gpt2,wikitext-512,50257,768,10,768,5847471,[370],[0.14644006],-86.79176679376336,[370],[0.15122254],-86.8239,3879323,3570277,768
11,gpt2,wikitext-512,50257,768,11,768,5301934,[284],[0.76924374],-96.57842713358404,[284],[0.88383555],-96.71729,4080497,5521673,768
12,gpt2,wikitext-512,50257,768,12,768,5965417,[796],[0.94862097],66.55453123973595,[796],[0.9470394],66.55619,4054526,4047834,768
13,gpt2,wikitext-512,50257,768,13,768,4275502,[82],[0.78095785],-90.34016824245111,[82],[0.7015438],-90.23294,3867506,3712046,768
14,gpt2,wikitext-512,50257,768,14,768,4944424,[705],[0.29972303],-81.15040443606804,[705],[0.3260714],-81.23468,3928107,4077055,768
15,gpt2,wikitext-512,50257,768,15,768,5419120,[329],[0.91331393],-19.656680807139228,[329],[0.94848657],-19.694473,3926311,3550105,768
16,gpt2,wikitext-512,50257,768,16,768,4305887,[15240],[0.08282538],-134.3694376401086,[15240],[0.07307758],-134.24425,3826471,2928861,768
17,gpt2,wikitext-512,50257,768,17,768,4835585,[373],[0.06932192],-112.90568241966075,[373],[0.06582087],-112.85385,3840531,2650038,768
18,gpt2,wikitext-512,50257,768,18,768,5880511,[82],[0.80881686],-81.06441330747649,[82],[0.8624058],-81.12857,3940720,4676731,768
19,gpt2,wikitext-512,50257,768,19,768,4115338,[1690],[0.14757705],-128.75360257065523,[1690],[0.11680544],-128.51973,3843946,2842816,768
20,gpt2,wikitext-512,50257,768,20,768,5154542,[764],[0.53915194],-108.23237795306699,[764],[0.5338811],-108.22257,3987672,3819434,768
21,gpt2,wikitext-512,50257,768,21,768,4714458,[1171],[0.28315445],-120.94866354974393,[1171],[0.2901994],-120.97322,3864896,2453185,768
22,gpt2,wikitext-512,50257,768,22,768,5221492,[30157],[0.99720903],-209.92869316524278,[30157],[0.9993025],-209.93082,3850973,4279827,768
23,gpt2,wikitext-512,50257,768,23,768,5649883,[5287],[0.14592295],-109.40129697619051,[5287],[0.15055484],-109.432556,3896006,3433983,768
24,gpt2,wikitext-512,50257,768,24,768,6376411,[784],[0.68354564],-33.894314607463244,[784],[0.71858734],-33.944305,3847188,4784972,768
25,gpt2,wikitext-512,50257,768,25,768,4002449,[262],[0.31707622],-115.19173420265028,[262],[0.2787901],-115.063034,3847386,2912881,768
26,gpt2,wikitext-512,50257,768,26,768,5129275,[764],[0.08900676],-116.09736020263271,[764],[0.11999579],-116.39608,3946608,3188395,768
27,gpt2,wikitext-512,50257,768,27,768,5634025,[286],[0.11812091],-64.71711814361188,[286],[0.14033054],-64.88943,4000669,4307040,768
28,gpt2,wikitext-512,50257,768,28,768,4570400,[373],[0.36908108],-83.65444515505102,[373],[0.37544096],-83.671524,3858577,3978955,768
29,gpt2,wikitext-512,50257,768,29,768,4174360,[3269],[0.16624609],-135.90059914578052,[3269],[0.19062753],-136.03743,3888769,2777349,768
30,gpt2,wikitext-512,50257,768,30,768,5217100,[262],[0.5412056],-82.37333339077254,[262],[0.52053636],-82.33441,3956378,2907170,768
31,gpt2,wikitext-512,50257,768,31,768,5543087,[12877],[0.4761849],-80.37305644047527,[12877],[0.55591047],-80.52785,4117103,3837127,768
32,gpt2,wikitext-512,50257,768,32,768,4661804,[286],[0.19801461],-91.34916769967941,[286],[0.22741646],-91.48761,3916579,3557356,768
33,gpt2,wikitext-512,50257,768,33,768,5816282,[6362],[0.99987453],-106.22609369926657,[6362],[0.9997185],-106.22594,3829685,4224379,768
34,gpt2,wikitext-512,50257,768,34,768,4963811,[262],[0.1420361],-129.21711869060442,[262],[0.14705864],-129.25186,3879361,3089916,768
35,gpt2,wikitext-512,50257,768,35,768,5826810,[262],[0.17583647],-81.11941937457291,[262],[0.18316166],-81.160225,4233419,4402962,768
36,gpt2,wikitext-512,50257,768,36,768,4145133,[422],[0.73525672],-48.57554396639127,[422],[0.7815791],-48.63664,3830279,2960987,768
37,gpt2,wikitext-512,50257,768,37,768,4512181,[12380],[0.12055998],-128.769920677955,[12380],[0.09965085],-128.57942,3886402,2724891,768
38,gpt2,wikitext-512,50257,768,38,768,4475266,[284],[0.17011714],-100.45620999299736,[284],[0.16648762],-100.43465,4037783,2802710,768
39,gpt2,wikitext-512,50257,768,39,768,9183682,[837],[0.23225686],-66.85386275984581,[837],[0.20030443],-66.70584,3836368,3848865,768
40,gpt2,wikitext-512,50257,768,40,768,5020256,[468],[0.06909257],-102.67186915520902,[468],[0.05496649],-102.44312,3827198,3224228,768
41,gpt2,wikitext-512,50257,768,41,768,6006611,[309],[0.09576257],-97.75090313904032,[309],[0.13144197],-98.06761,4029866,2984020,768
42,gpt2,wikitext-512,50257,768,42,768,4523226,[318],[0.21202983],-105.82198807016995,[318],[0.2433714],-105.95985,3884252,3490795,768
43,gpt2,wikitext-512,50257,768,43,768,5232729,[262],[0.70380688],-56.72990258469673,[262],[0.68504393],-56.702866,3975781,3546896,768
44,gpt2,wikitext-512,50257,768,44,768,4506530,[9621],[0.99974436],-213.56694403687416,[9621],[0.99987197],-213.56706,3822589,3399988,768
45,gpt2,wikitext-512,50257,768,45,768,4493319,[17186],[0.33246201],-62.06543445422948,[17186],[0.30341458],-61.974026,4247294,4041512,768
46,gpt2,wikitext-512,50257,768,46,768,5512022,[366],[0.02459924],-101.83022317206482,[366],[0.03177395],-102.08615,4109946,3308803,768
47,gpt2,wikitext-512,50257,768,47,768,5081687,[837],[0.29634247],-64.80565686565537,[837],[0.26200217],-64.682495,4072622,4686343,768
48,gpt2,wikitext-512,50257,768,48,768,4739598,[12],[0.86711213],134.5563137870998,[12],[0.96052176],134.45403,3907393,4063513,768
49,gpt2,wikitext-512,50257,768,49,768,3966162,[12],[0.97636394],-233.65115946901673,[12],[0.9656273],-233.64015,3830285,3413815,768
50,gpt2,wikitext-512,50257,768,50,768,4425845,[1588],[0.11381253],-110.3952406508165,[1588],[0.08908137],-110.15022,3910715,3751333,768
51,gpt2,wikitext-512,50257,768,51,768,4566105,[339],[0.38010243],-61.67073557517421,[339],[0.40380242],-61.731216,3959696,2985500,768
52,gpt2,wikitext-512,50257,768,52,768,4351946,[286],[0.79419791],-67.69991340827386,[286],[0.8178264],-67.72923,3893082,2992424,768
53,gpt2,wikitext-512,50257,768,53,768,4571379,[16912],[0.99292196],-202.20331548985678,[16912],[0.9984769],-202.20891,3831211,4436286,768
54,gpt2,wikitext-512,50257,768,54,768,4224260,[262],[0.28592761],-115.30914060107554,[262],[0.2805007],-115.28999,3856603,2901163,768
55,gpt2,wikitext-512,50257,768,55,768,4824786,[45826],[0.99502366],-53.823677922726866,[45826],[0.99970967],-53.828377,3840543,2902908,768
56,gpt2,wikitext-512,50257,768,56,768,4317332,[550],[0.13032729],-99.67207147914374,[550],[0.15940963],-99.87349,3979010,2487383,768
57,gpt2,wikitext-512,50257,768,57,768,5538479,[262],[0.50409239],-81.10206026290085,[262],[0.54169875],-81.174034,4042398,4244477,768
58,gpt2,wikitext-512,50257,768,58,768,3846980,[198],[0.99907697],-251.70088928841432,[198],[0.9993942],-251.70119,3820270,3102698,768
59,gpt2,wikitext-512,50257,768,59,768,5536128,[482],[0.99916821],-216.06282752789357,[482],[0.9994541],-216.06311,3850114,4867071,768
60,gpt2,wikitext-512,50257,768,60,768,6539390,[350],[0.03929522],-71.06209948116225,[350],[0.03960469],-71.06996,3873437,4991578,768
61,gpt2,wikitext-512,50257,768,61,768,6551961,[628],[0.88719821],114.89326168634831,[628],[0.9425139],114.83278,4154600,3329094,768
62,gpt2,wikitext-512,50257,768,62,768,5492115,[286],[0.2914984],-101.1881395191723,[286],[0.24867466],-101.029236,3898069,4219604,768
63,gpt2,wikitext-512,50257,768,63,768,4576723,[423],[0.5841905],-8.358802679744276,[423],[0.52060443],-8.243574,3842690,3688065,768
64,gpt2,wikitext-512,50257,768,64,768,5239721,[6215],[0.06984769],-90.21054813479175,[6215],[0.06237043],-90.09731,3933542,3184791,768
65,gpt2,wikitext-512,50257,768,65,768,4919461,[12313],[0.19433667],-92.26340234023645,[12313],[0.12188248],-91.79686,4249337,3111172,768
66,gpt2,wikitext-512,50257,768,66,768,4401954,[679],[0.16153658],-133.19202150717726,[679],[0.18672617],-133.3369,4117550,3688044,768
67,gpt2,wikitext-512,50257,768,67,768,5846064,[220],[0.12691906],-125.89062060044084,[220],[0.12164208],-125.848145,4096953,3040844,768
68,gpt2,wikitext-512,50257,768,68,768,5404457,[837],[0.20506229],-113.43386906975176,[837],[0.17317156],-113.26484,3845449,3316847,768
69,gpt2,wikitext-512,50257,768,69,768,4388279,[506],[0.96272135],-206.93588568990606,[506],[0.96001506],-206.93307,3825236,3074546,768
70,gpt2,wikitext-512,50257,768,70,768,5450755,[625],[0.11892698],-127.2727167091325,[625],[0.11967794],-127.27903,3999828,4106839,768
71,gpt2,wikitext-512,50257,768,71,768,5490494,[717],[0.06112398],-110.02990173410363,[717],[0.06024017],-110.01533,4044311,3672256,768
72,gpt2,wikitext-512,50257,768,72,768,4927694,[257],[0.21979122],-113.76713414302353,[257],[0.2655655],-113.95631,4033221,3088849,768
73,gpt2,wikitext-512,50257,768,73,768,3923641,[7916],[0.96314653],-46.46438433708065,[7916],[0.9576263],-46.45864,3820179,2099052,768
74,gpt2,wikitext-512,50257,768,74,768,4655571,[284],[0.4604795],-45.3123350107445,[284],[0.51216745],-45.418724,3918598,3719253,768
75,gpt2,wikitext-512,50257,768,75,768,5656126,[272],[0.04286779],-90.52346869880638,[272],[0.0369023],-90.37363,3849081,4526096,768
76,gpt2,wikitext-512,50257,768,76,768,5366612,[833],[0.42167157],-1.6052052587209005,[833],[0.4710438],-1.7159343,3952153,4114933,768
77,gpt2,wikitext-512,50257,768,77,768,4625303,[464],[0.1256297],-87.89347889621374,[464],[0.12900247],-87.91996,4134801,2788150,768
78,gpt2,wikitext-512,50257,768,78,768,5205227,[837],[0.28084349],-108.57080154685057,[837],[0.27172577],-108.53779,3834379,2870264,768
79,gpt2,wikitext-512,50257,768,79,768,4275607,[373],[0.10469732],-126.41595614009817,[373],[0.11439467],-126.50454,3849558,2971670,768
80,gpt2,wikitext-512,50257,768,80,768,5292890,[4365],[0.10224839],-123.68792675926305,[4365],[0.10278007],-123.693085,3960335,3369214,768
81,gpt2,wikitext-512,50257,768,81,768,5194207,[290],[0.20979503],-112.43575121499883,[290],[0.1938026],-112.35647,3902112,5245383,768
82,gpt2,wikitext-512,50257,768,82,768,4697483,[764],[0.26397998],-94.43973969543026,[764],[0.2713406],-94.46723,3956288,3044872,768
83,gpt2,wikitext-512,50257,768,83,768,6325567,[257],[0.10956865],-115.9613042857064,[257],[0.11970506],-116.04978,4047234,3186765,768
84,gpt2,wikitext-512,50257,768,84,768,4036123,[973],[0.11524074],-131.68690902651235,[517],[0.07220415],-131.16223,3879217,2595010,768
85,gpt2,wikitext-512,50257,768,85,768,4149413,[6149],[0.14153131],-121.51612494367411,[6149],[0.10240614],-121.192566,3852788,3344762,768
86,gpt2,wikitext-512,50257,768,86,768,3977585,[423],[0.38062185],-112.0875102533153,[423],[0.31625134],-111.90226,3833033,2508907,768
87,gpt2,wikitext-512,50257,768,87,768,5354623,[287],[0.1432649],-85.05306434977261,[287],[0.14059438],-85.034225,4063721,3596609,768
88,gpt2,wikitext-512,50257,768,88,768,4563746,[484],[0.61638982],-98.44745975079363,[484],[0.64571685],-98.493965,3960094,3367600,768
89,gpt2,wikitext-512,50257,768,89,768,5221471,[837],[0.26954537],-74.38913096730727,[837],[0.23188347],-74.2386,4091861,3681138,768
90,gpt2,wikitext-512,50257,768,90,768,5943837,[50026],[0.03758465],-98.5812289375127,[50026],[0.03742447],-98.57697,4116692,3907298,768
91,gpt2,wikitext-512,50257,768,91,768,4091741,[379],[0.1752123],-113.0928072886693,[379],[0.18247534],-113.133446,3830868,3045223,768
92,gpt2,wikitext-512,50257,768,92,768,5554835,[5401],[0.10401114],-88.64983631478097,[5401],[0.1250915],-88.8344,3954991,2758876,768
93,gpt2,wikitext-512,50257,768,93,768,5133657,[350],[0.03847847],-68.95003859476307,[350],[0.0430176],-69.061554,3877590,3073532,768
94,gpt2,wikitext-512,50257,768,94,768,5090442,[262],[0.10225174],-117.0849016979929,[262],[0.12654153],-117.29805,4072210,4051730,768
95,gpt2,wikitext-512,50257,768,95,768,5614842,[628],[0.72393452],34.358370795722735,[628],[0.7452965],34.329285,3939425,4280300,768
96,gpt2,wikitext-512,50257,768,96,768,5365750,[10181],[0.17023263],-87.15206386176946,[10181],[0.17743953],-87.19355,3841113,3072130,768
97,gpt2,wikitext-512,50257,768,97,768,5254439,[628],[0.28357003],25.964052513262804,[628],[0.3477895],25.759909,4024165,4124088,768
98,gpt2,wikitext-512,50257,768,98,768,4893302,[31718],[0.11803673],-71.43627680082032,[31718],[0.14195392],-71.6208,3860926,3445807,768
99,gpt2,wikitext-512,50257,768,99,768,4532909,[1588],[0.28883362],-123.68196943599034,[1588],[0.28331417],-123.66266,3867783,3216907,768
100,gpt2,wikitext-512,50257,768,100,768,4133575,[4793],[0.29603331],-106.5272998234449,[4793],[0.35583875],-106.71133,3823306,4494505,768
101,gpt2,wikitext-512,50257,768,101,768,4352433,[360],[0.10436872],-100.58957047133744,[360],[0.08976725],-100.438866,4019419,2878841,768
102,gpt2,wikitext-512,50257,768,102,768,3823060,[198],[0.99936665],-252.4599682594924,[198],[0.9993895],-252.45998,3819730,3799463,768
103,gpt2,wikitext-512,50257,768,103,768,4827774,[262],[0.77807042],-36.48475282157436,[262],[0.78008276],-36.48733,4036440,2925381,768
104,gpt2,wikitext-512,50257,768,104,768,4157528,[373],[0.18010936],-103.65995446733628,[373],[0.16579936],-103.57722,3898134,3182080,768
105,gpt2,wikitext-512,50257,768,105,768,4765337,[4075],[0.10831796],-131.40500124831541,[4075],[0.11551203],-131.4693,3882876,3094479,768
106,gpt2,wikitext-512,50257,768,106,768,5387573,[257],[0.26957747],-70.58949114025123,[257],[0.27385613],-70.605225,4190963,4409470,768
107,gpt2,wikitext-512,50257,768,107,768,7620540,[5057],[0.06295673],-104.84678338892664,[5057],[0.05876103],-104.77782,3839605,3268309,768
108,gpt2,wikitext-512,50257,768,108,768,4384799,[764],[0.29847149],-79.62098963793278,[764],[0.31970385],-79.68971,3889129,3093180,768
109,gpt2,wikitext-512,50257,768,109,768,5485146,[35085],[0.06436902],-83.06518106973397,[35085],[0.06654543],-83.09842,3885094,3366404,768
