,model,dataset,n,d,query,d_not_sparse,budget_total,best_arm_hat,p_hat_best_arm_hat,log_S_hat,best_arm,p_best_arm,log_S,budget_log_norm_estimation,budget_best_arms,budget_estimate_best_arm
0,meta-llama_Meta-Llama-3-8B,wikitext-512,128256,4096,0,4096,25331832,[43089],[0.98826144],23.856433478692118,[43089],[0.99412775],23.850512,6925824,20696457,4096
1,meta-llama_Meta-Llama-3-8B,wikitext-512,128256,4096,1,4096,28760304,[7351],[0.89751649],21.122875219449018,[7351],[0.9330593],21.084038,6925919,23857499,4096
2,meta-llama_Meta-Llama-3-8B,wikitext-512,128256,4096,2,4096,8015027,[20],[0.1811278],32.940438303186376,[20],[0.19817302],32.8505,4617216,7825441,4096
3,meta-llama_Meta-Llama-3-8B,wikitext-512,128256,4096,3,4096,39529920,[315],[0.98932319],24.10214961974018,[315],[0.9885152],24.102968,4617261,45920709,4096
4,meta-llama_Meta-Llama-3-8B,wikitext-512,128256,4096,4,4096,44220029,[323],[0.25117121],19.89380460957275,[323],[0.20196585],20.11184,6926313,39702469,4096
5,meta-llama_Meta-Llama-3-8B,wikitext-512,128256,4096,5,4096,37702931,[1174],[0.65847832],21.25180806363948,[1174],[0.6962223],21.196083,4617279,35527008,4096
6,meta-llama_Meta-Llama-3-8B,wikitext-512,128256,4096,6,4096,35683549,[87449],[0.24762033],18.312999591891423,[87449],[0.22940037],18.389427,4617381,33842690,4096
7,meta-llama_Meta-Llama-3-8B,wikitext-512,128256,4096,7,4096,46583629,[578],[0.15603122],18.374953049601835,[578],[0.1603447],18.347683,4617302,45799014,4096
8,meta-llama_Meta-Llama-3-8B,wikitext-512,128256,4096,8,4096,52297501,[96265],[0.22158053],16.255724639108884,[96265],[0.20767091],16.320557,4617347,51299030,4096
9,meta-llama_Meta-Llama-3-8B,wikitext-512,128256,4096,9,4096,49837015,[315],[0.91814235],21.826051102028966,[315],[0.9383267],21.804308,4617302,49430430,4096
