,model,dataset,n,d,query,d_not_sparse,budget_total,best_arm_hat,p_hat_best_arm_hat,log_S_hat,best_arm,p_best_arm,log_S,budget_log_norm_estimation,budget_best_arms,budget_estimate_best_arm
0,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,0,4096,3637519,[28734],[0.99824703],20.756023155370464,[28734],[0.9997681],20.754505,1152045,3255098,4096
1,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,1,4096,5456714,[349],[0.36267933],14.96394325114036,[349],[0.35443702],14.986933,1152018,5287243,4096
2,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,2,4096,4166914,[842],[0.48178923],15.234488572751403,[842],[0.4945446],15.208358,512058,4166914,4096
3,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,3,4096,5728190,[272],[0.22896947],14.277759303907109,[272],[0.18227391],14.505837,768000,5571826,4096
4,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,4,4096,4337318,[3304],[0.58583727],17.291741802104106,[3304],[0.5840561],17.294785,1152000,3519248,4096
5,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,5,4096,3866373,[415],[0.36516284],15.522768892525551,[415],[0.34506088],15.579391,1152000,3680888,4096
6,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,6,4096,3903439,[802],[0.99288084],17.702893905664286,[802],[0.9940832],17.701685,512020,3900266,4096
7,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,7,4096,3861922,[403],[0.25503565],15.353020536723754,[403],[0.26083735],15.330524,768012,3808335,4096
8,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,8,4096,4162518,[28740],[0.75202093],19.59327397740934,[28740],[0.6976787],19.668282,512008,4160498,4096
9,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,9,4096,2846969,[28705],[0.99596982],19.773350228325302,[28705],[0.99932754],19.769987,768030,2745706,4096
10,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,10,4096,5811640,[327],[0.70558667],13.886687622608191,[327],[0.72968847],13.8531,512020,5809620,4096
11,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,11,4096,5171614,[6516],[0.96478543],17.463480931462108,[6516],[0.96577394],17.462458,1152018,3167046,4096
12,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,12,4096,3180675,[272],[0.70370165],17.10562177263003,[272],[0.7659756],17.020828,1152000,2926150,4096
13,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,13,4096,3419189,[28784],[0.70186747],18.15315924556024,[28784],[0.65694475],18.219301,512008,3418207,4096
14,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,14,4096,2756903,[1200],[0.95827868],17.35281638797065,[1200],[0.9635101],17.347372,1152000,2597512,4096
15,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,15,4096,6647945,[802],[0.79584145],16.398183706445476,[802],[0.84183425],16.342,768000,6627679,4096
16,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,16,4096,4229388,[264],[0.57000269],14.72966906186735,[264],[0.5541974],14.757787,1152000,3742321,4096
17,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,17,4096,4193666,[312],[0.26492057],15.48700329824842,[312],[0.24822219],15.552107,1152000,3017672,4096
18,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,18,4096,5999504,[28713],[0.94638934],17.310937713759667,[28713],[0.97932637],17.27673,512008,5997484,4096
19,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,19,4096,6579773,[28750],[0.98304264],18.681642115607946,[28750],[0.97431165],18.690561,512020,6577061,4096
20,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,20,4096,2450827,[28740],[0.96318307],18.60359378137092,[28740],[0.91067857],18.659647,512000,2448115,4096
21,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,21,4096,4235739,[5651],[0.30765344],17.3456361677438,[5651],[0.34848022],17.221035,768012,4003151,4096
22,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,22,4096,6893405,[264],[0.27609377],14.224955320645979,[264],[0.31221145],14.102017,512065,6893405,4096
23,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,23,4096,3491228,[1200],[0.69368023],17.764174060815908,[1200],[0.59601027],17.915934,768030,2911197,4096
24,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,24,4096,5367227,[2298],[0.6438172],17.870634481150326,[2298],[0.6352836],17.883982,512020,5367227,4096
25,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,25,4096,1999029,[7033],[0.54445223],15.659683296637123,[7033],[0.67217255],15.448949,768012,1976453,4096
26,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,26,4096,2468242,[28734],[0.98879205],19.943552725227303,[28734],[0.9997601],19.932522,768012,2405232,4096
27,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,27,4096,4679700,[808],[0.37909067],13.64446030048969,[808],[0.35258195],13.716954,768000,4519379,4096
28,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,28,4096,5092184,[897],[0.99906361],21.257372224345602,[897],[0.9994468],21.256989,512008,5089472,4096
29,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,29,4096,5081979,[1190],[0.97747089],16.83814397778861,[1190],[0.98905367],16.826365,768012,4968015,4096
30,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,30,4096,4346594,[12029],[0.08987519],12.882605706351567,[12029],[0.08312697],12.960658,768012,3990884,4096
31,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,31,4096,3366136,[713],[0.99382979],19.719772315173905,[713],[0.98948306],19.724154,768000,3301415,4096
32,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,32,4096,4043789,[4788],[0.09076646],13.130347132730668,[4788],[0.07366986],13.339045,512020,4043789,4096
33,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,33,4096,5994012,[264],[0.20143788],15.996125520480142,[264],[0.20673308],15.970177,512028,5994012,4096
34,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,34,4096,3723002,[438],[0.85514994],17.715781737002814,[438],[0.7684456],17.822685,768012,3662441,4096
35,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,35,4096,3228195,[1918],[0.98500037],18.355538758076722,[1918],[0.9922484],18.34821,768012,3062530,4096
36,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,36,4096,3246541,[284],[0.1326045],15.153702248307978,[654],[0.10234652],15.535534,1152000,2867014,4096
37,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,37,4096,5425030,[272],[0.49895856],13.685436094775055,[272],[0.41982162],13.858129,768000,4730464,4096
38,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,38,4096,4447778,[262],[0.99870825],20.62512528925335,[262],[0.99919814],20.624636,512028,4445066,4096
39,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,39,4096,3349945,[842],[0.86193118],17.31716466901603,[842],[0.85018605],17.330887,768012,3144226,4096
40,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,40,4096,2568159,[356],[0.42804805],16.542402768068808,[356],[0.4075775],16.591408,1152000,3169272,4096
41,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,41,4096,7328988,[394],[0.86661458],14.719045762988788,[394],[0.8754679],14.708883,1152018,6938715,4096
42,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,42,4096,3577504,[6403],[0.991312],18.432943186353658,[6403],[0.9918031],18.432447,1152000,3729484,4096
43,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,43,4096,4586933,[13],[0.9906036],19.081950592161686,[13],[0.99583226],19.07669,1728000,3867970,4096
44,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,44,4096,9307097,[272],[0.50002596],12.7219744330453,[272],[0.5083178],12.705526,768098,9285448,4096
45,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,45,4096,3490642,[390],[0.99507262],18.52028989961235,[390],[0.9981388],18.517214,512016,3487469,4096
46,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,46,4096,5619579,[1474],[0.40811957],14.633001946956119,[1474],[0.4244077],14.593865,1152000,4951741,4096
47,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,47,4096,4490855,[757],[0.38964385],15.646694300101029,[757],[0.42077407],15.569834,1152000,3881392,4096
48,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,48,4096,2934258,[773],[0.36377519],16.32305069343893,[773],[0.3792097],16.281498,512028,2933276,4096
49,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,49,4096,3656383,[327],[0.88392642],15.742461046310508,[327],[0.9220067],15.700282,768030,3463798,4096
50,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,50,4096,3551967,[13],[0.54836362],15.589466989108312,[13],[0.6205524],15.465797,1152000,3425120,4096
51,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,51,4096,4428128,[28705],[0.45190126],15.893512806825422,[28705],[0.47824836],15.836847,768024,4388370,4096
52,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,52,4096,2661074,[842],[0.68116927],17.17906276951451,[842],[0.7047492],17.14503,1152000,2445011,4096
53,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,53,4096,4641565,[1269],[0.44561176],15.170634765574324,[1269],[0.4316784],15.202404,768012,4087565,4096
54,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,54,4096,3951312,[871],[0.56106175],16.370273163574993,[871],[0.63742375],16.242668,1152045,2592024,4096
55,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,55,4096,3101996,[3920],[0.92703812],17.769299259360302,[3920],[0.98946476],17.704134,512020,3099976,4096
56,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,56,4096,4996747,[842],[0.74762231],16.749872259470212,[842],[0.7828483],16.70383,1152000,4393066,4096
57,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,57,4096,3076608,[842],[0.70891319],16.81511251339232,[842],[0.716308],16.804737,768000,2962104,4096
58,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,58,4096,3301261,[272],[0.31806435],15.475913476696856,[272],[0.26798686],15.647229,1152000,3397885,4096
59,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,59,4096,2976643,[28750],[0.21839718],20.162156501422928,[28750],[0.20581141],20.221508,512008,2976643,4096
60,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,60,4096,2882439,[28781],[0.52340552],17.81607510948609,[28781],[0.521596],17.819536,512020,2881457,4096
61,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,61,4096,5788858,[272],[0.5982322],15.162969118865306,[272],[0.4597983],15.42616,512008,5787876,4096
62,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,62,4096,3722815,[28740],[0.16219564],11.285661176711647,[28740],[0.12968943],11.509319,768000,3227706,4096
63,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,63,4096,3272522,[13],[0.89927074],17.21785021026281,[13],[0.9647364],17.14758,1152000,2805441,4096
64,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,64,4096,5327121,[6611],[0.3778665],14.04324835056556,[28705],[0.939297],17.052717,1152000,5536655,4096
65,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,65,4096,3702617,[298],[0.95191515],19.22196881277136,[298],[0.96898925],19.204193,512008,3699905,4096
66,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,66,4096,3177458,[1200],[0.95831664],16.910077337802353,[1200],[0.95338166],16.91524,512038,3175438,4096
67,mistralai_Mistral-7B-v0.1,wikitext-512,32000,4096,67,4096,2534198,[28734],[0.95663162],17.815012550271796,[28734],[0.9558482],17.81583,1152000,2399187,4096
