model,dataset,n,d,query,d_not_sparse,budget_total,best_arm_hat,p_hat_best_arm_hat,log_S_hat,best_arm,p_best_arm,log_S,budget_log_norm_estimation,budget_best_arms,budget_estimate_best_arm
google_gemma-7b,wikitext,256000,3072,0,3072,159563059,[83202],[0.99871942],9.063019417532184,[83202],[0.99983335],9.061901,78644174,107517376,3072
google_gemma-7b,wikitext,256000,3072,1,3072,101774941,[738],[0.99971915],-15.069159003438893,[738],[0.9999939],-15.069431,78594765,54918951,3072
google_gemma-7b,wikitext,256000,3072,2,3072,161237158,[231255],[0.42723401],-16.707601969924887,[231255],[0.4177423],-16.68514,78597611,132017602,3072
google_gemma-7b,wikitext,256000,3072,3,3072,119634354,[30866],[0.99919807],-19.563547871677326,[30866],[0.9998447],-19.564163,78596534,108279223,3072
google_gemma-7b,wikitext,256000,3072,4,3072,199399824,[235265],[0.3592696],-38.02668325792271,[235265],[0.3429605],-37.98023,78608334,84014780,3072
google_gemma-7b,wikitext,256000,3072,5,3072,123055396,[235265],[8.08908051e-05],10.124331861185762,[17726],[0.98972297],9.2565565,78594765,83303548,3072
google_gemma-7b,wikitext,256000,3072,6,3072,114808566,[954],[0.67870139],-16.400536701021846,[954],[0.65997005],-16.372543,78598252,57072803,3072
google_gemma-7b,wikitext,256000,3072,7,3072,150433600,[954],[0.97772099],-19.33159122496454,[954],[0.98197377],-19.335909,78605414,104512295,3072
google_gemma-7b,wikitext,256000,3072,8,3072,103800422,[218217],[0.37400325],-16.130091811290097,[218217],[0.38547304],-16.160303,78606362,90316980,3072
google_gemma-7b,wikitext,256000,3072,9,3072,115655628,[954],[0.97645795],-18.6513701992726,[954],[0.977081],-18.652029,78599299,76883209,3072
google_gemma-7b,wikitext,256000,3072,10,3072,153703871,[218217],[0.71900991],-13.052431684203057,[218217],[0.65403956],-12.957728,78604608,65069501,3072
google_gemma-7b,wikitext,256000,3072,11,3072,176505291,[664],[0.88717735],-14.551573345201865,[664],[0.92861474],-14.597232,78596151,92649170,3072
google_gemma-7b,wikitext,256000,3072,12,3072,204614263,[3413],[0.59114482],-5.591563814534606,[3413],[0.6135377],-5.628752,78601514,197374935,3072
google_gemma-7b,wikitext,256000,3072,13,3072,162564741,[100602],[0.43453522],26.691600153634614,[100602],[0.43701228],26.685932,78594869,20114453,3072
google_gemma-7b,wikitext,256000,3072,14,3072,119281246,[29485],[0.99999967],13.096494047446228,[29485],[1.],13.096519,78599025,90084177,3072
google_gemma-7b,wikitext,256000,3072,15,3072,95372935,[137451],[0.96706537],-7.0205831945565444,[137451],[0.96886224],-7.0224648,78594765,55495446,3072
google_gemma-7b,wikitext,256000,3072,16,3072,174628120,[235265],[0.39631043],-27.888575217196475,[235265],[0.39647955],-27.888996,78600305,126232035,3072
