model,dataset,n,d,query,d_not_sparse,budget_total,best_arm_hat,p_hat_best_arm_hat,log_S_hat,best_arm,p_best_arm,log_S,budget_log_norm_estimation,budget_best_arms,budget_estimate_best_arm
CNN,eurosat,10,25088,0,144,270,[8],[0.9999968],29.814227441294403,[8],[1.],29.814224,858,160,144
CNN,eurosat,10,25088,1,176,329,[7],[1.],27.35763931277594,[7],[1.],27.35764,488,160,176
CNN,eurosat,10,25088,2,64,184,[2],[0.99748672],15.268627814478819,[2],[0.99747854],15.268637,496,208,64
CNN,eurosat,10,25088,3,120,228,[7],[1.],20.986545563434124,[7],[1.],20.986546,336,160,120
CNN,eurosat,10,25088,4,272,542,[4],[0.99999999],21.251829152497113,[4],[1.],21.251831,881,184,272
CNN,eurosat,10,25088,5,264,498,[9],[1.],149.5172119140625,[9],[1.],149.51721,498,160,264
CNN,eurosat,10,25088,6,64,138,[5],[0.99999557],23.883640907171774,[5],[0.99999654],23.88364,332,160,64
CNN,eurosat,10,25088,7,136,317,[4],[0.89323038],11.031421179102269,[4],[0.58788717],11.449731,376,220,136
CNN,eurosat,10,25088,8,88,168,[7],[0.99999995],20.176576660635583,[7],[0.9999933],20.17658,322,160,88
CNN,eurosat,10,25088,9,196,367,[7],[1.],24.01702117933168,[7],[1.],24.017021,470,160,196
CNN,eurosat,10,25088,10,208,422,[2],[0.99999986],62.901416916148044,[2],[1.],62.90142,850,256,208
CNN,eurosat,10,25088,11,96,191,[0],[1.],42.72502136524028,[0],[1.],42.72502,256,160,96
CNN,eurosat,10,25088,12,176,329,[4],[1.],20.911365509281435,[4],[1.],20.911366,366,176,176
CNN,eurosat,10,25088,13,172,363,[4],[0.99999999],17.16052247578347,[4],[0.99999976],17.160522,611,220,172
CNN,eurosat,10,25088,14,124,232,[1],[0.99999999],26.4717102135233,[1],[1.],26.471714,954,160,124
CNN,eurosat,10,25088,15,96,373,[0],[0.49146574],7.781829487472333,[0],[0.49067205],7.783446,622,358,96
CNN,eurosat,10,25088,16,92,194,[1],[0.99984213],20.311177784271248,[1],[0.9999937],20.311026,598,160,92
CNN,eurosat,10,25088,17,80,160,[2],[0.99999198],17.61450806685488,[2],[0.99993265],17.614565,624,160,80
CNN,eurosat,10,25088,18,208,388,[9],[1.],92.28449249267578,[9],[1.],92.28449,388,160,208
CNN,eurosat,10,25088,19,177,330,[7],[1.],29.53381919885017,[7],[1.],29.53382,490,160,177
CNN,eurosat,10,25088,20,108,322,[0],[0.89917999],20.86183006934266,[0],[0.89919317],20.861813,485,310,108
CNN,eurosat,10,25088,21,128,248,[4],[0.9999995],25.647171518180922,[4],[1.],25.647171,499,176,128
CNN,eurosat,10,25088,22,80,168,[1],[0.99999909],22.110630945860354,[1],[0.9999943],22.110636,648,176,80
CNN,eurosat,10,25088,23,211,400,[0],[1.],66.83682250976562,[0],[1.],66.83682,460,256,211
CNN,eurosat,10,25088,24,112,337,[6],[0.993949],16.796402180390473,[6],[0.994899],16.795446,521,160,112
CNN,eurosat,10,25088,25,80,278,[0],[0.78502672],18.00113557529261,[0],[0.78419244],18.0022,412,308,80
CNN,eurosat,10,25088,26,96,393,[9],[0.96070174],13.283437498664053,[9],[0.9609194],13.28321,483,240,96
CNN,eurosat,10,25088,27,159,402,[4],[0.99996261],9.39969082561789,[4],[0.99983263],9.39982,429,300,159
CNN,eurosat,10,25088,28,111,210,[7],[1.],22.36653900456458,[7],[1.],22.366537,518,160,111
CNN,eurosat,10,25088,29,76,157,[1],[0.99999952],25.73839236029862,[1],[0.9999988],25.738394,450,160,76
CNN,eurosat,10,25088,30,152,296,[6],[0.99942628],36.49217773203386,[6],[0.9999988],36.491608,415,160,152
CNN,eurosat,10,25088,31,592,1123,[9],[1.],499.6706237792969,[9],[1.],499.67065,1123,176,592
CNN,eurosat,10,25088,32,92,180,[1],[1.],32.48494720800444,[1],[1.],32.484943,490,160,92
CNN,eurosat,10,25088,33,164,308,[0],[1.],88.61051940917969,[0],[1.],88.61053,308,160,164
CNN,eurosat,10,25088,34,156,407,[0],[0.99804719],22.01402823602877,[0],[0.84586763],22.179466,605,298,156
CNN,eurosat,10,25088,35,128,272,[4],[0.99997191],13.567715128143513,[4],[0.99996066],13.567727,421,192,128
CNN,eurosat,10,25088,36,128,236,[8],[0.99986199],15.04747269532023,[8],[0.9970396],15.050299,1185,160,128
CNN,eurosat,10,25088,37,96,219,[6],[0.99813148],24.190446015153665,[6],[0.9994492],24.189127,672,208,96
CNN,eurosat,10,25088,38,48,132,[5],[0.99999087],24.74408872018515,[5],[0.9999974],24.744081,220,160,48
CNN,eurosat,10,25088,39,620,1178,[9],[1.],567.36572265625,[9],[1.],567.3657,1174,176,620
CNN,eurosat,10,25088,40,148,392,[9],[0.99624604],28.25115367402688,[9],[0.9965268],28.250874,596,290,148
CNN,eurosat,10,25088,41,76,148,[5],[0.99999925],32.841347485841155,[5],[1.],32.841347,387,160,76
CNN,eurosat,10,25088,42,156,372,[4],[0.99795649],11.016058888669791,[4],[0.92539996],11.091542,578,276,156
CNN,eurosat,10,25088,43,92,180,[1],[0.99999995],30.275108386301028,[1],[1.],30.275105,505,160,92
CNN,eurosat,10,25088,44,64,138,[6],[0.96000004],13.490650095789835,[6],[0.6775855],13.839048,402,160,64
CNN,eurosat,10,25088,45,155,290,[0],[1.],127.24057006835938,[0],[1.],127.24057,290,160,155
CNN,eurosat,10,25088,46,172,325,[3],[0.99999987],21.20722020904577,[3],[0.99999225],21.20723,517,160,172
CNN,eurosat,10,25088,47,220,432,[4],[0.99999684],23.384753527815562,[4],[1.],23.384748,738,220,220
CNN,eurosat,10,25088,48,132,249,[7],[1.],26.482173919791343,[7],[1.],26.482174,358,160,132
CNN,eurosat,10,25088,49,236,456,[4],[1.],25.697715763163128,[4],[1.],25.697716,559,200,236
CNN,eurosat,10,25088,50,96,177,[5],[0.99991455],20.745107269934724,[5],[0.99999917],20.745022,714,160,96
CNN,eurosat,10,25088,51,160,342,[4],[0.99943769],22.88195590402062,[4],[0.9999194],22.881474,786,236,160
CNN,eurosat,10,25088,52,96,324,[9],[0.79652726],14.566845581935501,[9],[0.7966011],14.566752,634,328,96
CNN,eurosat,10,25088,53,189,387,[7],[0.87706896],8.59397826190299,[7],[0.55168295],9.0575905,650,514,189
CNN,eurosat,10,25088,54,97,185,[7],[0.99999995],19.711399128606814,[7],[1.],19.7114,296,160,97
CNN,eurosat,10,25088,55,127,235,[7],[0.99999998],18.52902224143044,[7],[1.],18.529022,382,160,127
CNN,eurosat,10,25088,56,192,363,[4],[0.99999993],15.839611121783218,[4],[1.],15.839613,433,160,192
CNN,eurosat,10,25088,57,112,211,[8],[1.],21.910381319307284,[8],[0.9999999],21.910381,581,160,112
CNN,eurosat,10,25088,58,80,188,[2],[0.9997484],19.596246583428034,[2],[0.9998022],19.596191,550,200,80
CNN,eurosat,10,25088,59,173,326,[7],[1.],29.825576782228993,[7],[1.],29.825577,482,160,173
CNN,eurosat,10,25088,60,608,1148,[9],[1.],496.3995361328125,[9],[1.],496.3995,1148,176,608
CNN,eurosat,10,25088,61,125,233,[7],[1.],29.449357986450956,[7],[1.],29.44936,343,160,125
CNN,eurosat,10,25088,62,168,312,[0],[1.],51.3222351074219,[0],[1.],51.322235,358,160,168
CNN,eurosat,10,25088,63,111,275,[7],[0.99998142],14.665008046902475,[7],[0.99999416],14.664994,510,208,111
CNN,eurosat,10,25088,64,143,311,[8],[0.99932195],12.914218168789704,[8],[0.9988876],12.914654,755,200,143
CNN,eurosat,10,25088,65,172,332,[4],[1.],20.885837557707898,[4],[1.],20.885834,362,184,172
CNN,eurosat,10,25088,66,96,363,[1],[0.74577016],20.285010334637718,[1],[0.7458611],20.28489,594,348,96
CNN,eurosat,10,25088,67,108,198,[7],[0.99999953],17.157457820893267,[7],[0.99998677],17.15747,296,160,108
CNN,eurosat,10,25088,68,204,384,[6],[0.98936835],13.090491084446505,[6],[0.9426584],13.138853,1254,160,204
CNN,eurosat,10,25088,69,136,253,[7],[0.99999998],20.916580218204093,[7],[1.],20.916578,362,160,136
CNN,eurosat,10,25088,70,148,274,[7],[1.],23.02109146126965,[7],[1.],23.021091,422,160,148
CNN,eurosat,10,25088,71,80,224,[5],[0.97377349],15.186564964278423,[5],[0.9747575],15.1855545,560,200,80
CNN,eurosat,10,25088,72,64,118,[2],[0.99999871],18.70048651832385,[2],[0.99999416],18.70049,552,160,64
CNN,eurosat,10,25088,73,132,271,[9],[1.],70.87440490722658,[9],[1.],70.874405,716,184,132
CNN,eurosat,10,25088,74,96,177,[8],[0.99999821],20.577073937054816,[8],[0.9999999],20.577072,684,160,96
CNN,eurosat,10,25088,75,92,233,[1],[0.99985253],22.047819750786772,[1],[0.99974746],22.047924,449,160,92
CNN,eurosat,10,25088,76,129,237,[7],[1.],31.06984519958517,[7],[1.],31.069845,340,160,129
CNN,eurosat,10,25088,77,112,216,[6],[0.93786208],17.409641878007868,[6],[0.9979995],17.347492,714,160,112
CNN,eurosat,10,25088,78,129,237,[7],[1.],30.11932373046942,[7],[1.],30.119324,340,160,129
CNN,eurosat,10,25088,79,112,224,[2],[0.99999613],27.96291357296199,[2],[0.99999785],27.962912,780,176,112
CNN,eurosat,10,25088,80,108,256,[1],[0.99999409],22.256273460864747,[1],[0.99999523],22.256275,567,240,108
CNN,eurosat,10,25088,81,92,188,[1],[0.99999714],24.00418758460076,[1],[0.9999994],24.004185,743,176,92
CNN,eurosat,10,25088,82,108,310,[0],[0.95452311],21.515024486880804,[0],[0.95453227],21.515017,537,236,108
CNN,eurosat,10,25088,83,172,325,[2],[1.],32.72879028479409,[2],[1.],32.72879,1515,160,172
CNN,eurosat,10,25088,84,152,287,[0],[1.],86.32466125488281,[0],[1.],86.32466,454,176,152
CNN,eurosat,10,25088,85,112,211,[0],[1.],42.8038330083379,[0],[0.99999964],42.803833,470,160,112
CNN,eurosat,10,25088,86,172,325,[3],[1.],25.554925919929953,[3],[0.9999989],25.554926,544,160,172
CNN,eurosat,10,25088,87,124,232,[2],[1.],29.805358891399663,[2],[1.],29.80536,1069,160,124
CNN,eurosat,10,25088,88,112,281,[1],[0.99852941],14.355590022403057,[1],[0.99602616],14.3581,873,220,112
CNN,eurosat,10,25088,89,144,400,[3],[0.79055401],21.339223576604834,[3],[0.790554],21.339224,400,372,144
CNN,eurosat,10,25088,90,144,270,[8],[0.99999991],27.814066024913465,[8],[0.9999989],27.81407,378,160,144
CNN,eurosat,10,25088,91,112,211,[5],[0.99978462],18.826021065223944,[5],[0.99999726],18.825808,745,160,112
CNN,eurosat,10,25088,92,136,253,[7],[1.],23.34441757259051,[7],[1.],23.344418,359,160,136
CNN,eurosat,10,25088,93,152,287,[7],[1.],23.817768097162702,[7],[1.],23.817768,445,160,152
CNN,eurosat,10,25088,94,156,330,[4],[1.],24.842878341825486,[4],[1.],24.842876,351,236,156
CNN,eurosat,10,25088,95,588,1110,[9],[1.],483.5140380859375,[9],[1.],483.51404,1110,176,588
CNN,eurosat,10,25088,96,76,175,[2],[0.99999621],19.188915230342758,[2],[0.9999907],19.188921,501,160,76
CNN,eurosat,10,25088,97,64,138,[5],[0.99991063],21.55964824091655,[5],[0.99996173],21.559597,314,160,64
CNN,eurosat,10,25088,98,584,1106,[9],[1.],467.406494140625,[9],[1.],467.4065,1106,176,584
CNN,eurosat,10,25088,99,80,168,[0],[0.99984073],24.688910502131314,[0],[0.9997085],24.689041,470,160,80
CNN,eurosat,10,25088,100,64,186,[2],[0.99042555],21.700160890856854,[2],[0.9904496],21.700136,292,200,64
CNN,eurosat,10,25088,101,124,286,[0],[0.9999929],56.836123894914095,[0],[0.9999999],56.836117,478,244,124
CNN,eurosat,10,25088,102,112,284,[3],[0.99981376],23.504203132082957,[3],[0.9998696],23.504147,413,256,112
CNN,eurosat,10,25088,103,173,326,[7],[1.],25.568960189930184,[7],[1.],25.568962,482,160,173
CNN,eurosat,10,25088,104,124,278,[0],[0.99927524],25.368454211014054,[0],[0.9998325],25.367897,451,236,124
CNN,eurosat,10,25088,105,64,184,[5],[0.99470457],9.094232004578629,[5],[0.98564225],9.103384,620,160,64
CNN,eurosat,10,25088,106,96,177,[6],[0.99999996],27.21725276797589,[6],[0.9999999],27.217255,529,160,96
CNN,eurosat,10,25088,107,144,409,[4],[0.99563051],7.412209782807382,[4],[0.99604106],7.411797,672,248,144
CNN,eurosat,10,25088,108,160,340,[4],[0.999988],19.52737482313344,[4],[1.],19.527363,744,216,160
CNN,eurosat,10,25088,109,92,195,[0],[0.99935482],23.81667780240737,[0],[0.9998186],23.816214,448,176,92
CNN,eurosat,10,25088,110,376,709,[4],[1.],43.558738708496094,[4],[1.],43.558735,709,184,376
CNN,eurosat,10,25088,111,96,177,[6],[0.9997341],27.425427300386673,[6],[0.99998903],27.425175,408,160,96
CNN,eurosat,10,25088,112,96,249,[6],[0.5214641],21.3238367067027,[6],[0.5217078],21.32337,405,290,96
CNN,eurosat,10,25088,113,240,456,[9],[1.],121.98711395263672,[9],[1.],121.98711,456,274,240
CNN,eurosat,10,25088,114,128,248,[4],[1.],28.023555755615938,[4],[1.],28.023556,278,176,128
CNN,eurosat,10,25088,115,64,166,[1],[0.99354763],18.610091896663633,[1],[0.9951887],18.608442,434,184,64
CNN,eurosat,10,25088,116,92,187,[9],[0.99985048],20.600027839838003,[9],[0.9992311],20.600647,578,160,92
CNN,eurosat,10,25088,117,112,211,[8],[1.],34.89053344726624,[8],[1.],34.890533,355,160,112
CNN,eurosat,10,25088,118,112,234,[8],[0.99998224],17.05167639020767,[8],[0.9999908],17.051668,694,176,112
CNN,eurosat,10,25088,119,92,252,[1],[0.83688804],16.605837498050526,[1],[0.83474797],16.608398,537,236,92
CNN,eurosat,10,25088,120,92,252,[0],[0.99931041],27.00182279460242,[0],[0.9994041],27.001728,422,236,92
CNN,eurosat,10,25088,121,112,312,[2],[0.98876796],25.376655851661777,[2],[0.98876756],25.376654,633,236,112
CNN,eurosat,10,25088,122,143,444,[8],[0.7762691],7.678237639370909,[8],[0.6517397],7.8530917,803,184,143
CNN,eurosat,10,25088,123,76,157,[6],[0.92618192],35.77401889333584,[6],[0.9999398],35.697395,336,160,76
CNN,eurosat,10,25088,124,148,274,[0],[1.],150.84764099121094,[0],[1.],150.84764,274,160,148
CNN,eurosat,10,25088,125,412,781,[9],[1.],221.44119262695312,[9],[1.],221.44121,780,184,412
CNN,eurosat,10,25088,126,112,311,[9],[0.99999999],32.33311463697911,[9],[1.],32.333115,658,240,112
CNN,eurosat,10,25088,127,124,232,[5],[0.99999999],37.01206971274862,[5],[1.],37.01207,720,160,124
CNN,eurosat,10,25088,128,112,224,[3],[1.],27.039644242671052,[3],[0.9999994],27.039644,355,160,112
CNN,eurosat,10,25088,129,128,284,[3],[0.99999964],22.342224485279793,[3],[0.99998105],22.342243,585,200,128
CNN,eurosat,10,25088,130,32,130,[8],[0.98606647],11.574186423088626,[8],[0.9861849],11.574066,214,160,32
CNN,eurosat,10,25088,131,124,346,[0],[0.89062751],13.733106146788122,[0],[0.8910012],13.732687,719,236,124
CNN,eurosat,10,25088,132,108,204,[0],[0.99999581],23.541405098289847,[0],[0.99999225],23.541409,568,160,108
CNN,eurosat,10,25088,133,156,407,[2],[0.99815084],23.532528669372823,[2],[0.9986212],23.532057,842,244,156
CNN,eurosat,10,25088,134,80,184,[1],[0.99999639],21.676967411519286,[1],[0.9999927],21.676971,612,176,80
CNN,eurosat,10,25088,135,112,387,[2],[0.50582078],7.22925944034268,[2],[0.503634],7.2335925,761,390,112
CNN,eurosat,10,25088,136,96,205,[8],[0.99992725],14.876533779473338,[8],[0.9999589],14.876503,680,160,96
CNN,eurosat,10,25088,137,412,781,[9],[1.],221.39590454101562,[9],[1.],221.3959,781,184,412
CNN,eurosat,10,25088,138,173,326,[7],[1.],28.779266357422383,[7],[1.],28.779266,363,160,173
CNN,eurosat,10,25088,139,112,211,[0],[1.],71.34135437011719,[0],[1.],71.341354,281,160,112
CNN,eurosat,10,25088,140,160,324,[3],[0.99974263],11.963130864106772,[3],[0.9994742],11.963399,783,200,160
CNN,eurosat,10,25088,141,112,216,[8],[0.9999531],17.295445609933168,[8],[0.99973696],17.295662,488,160,112
CNN,eurosat,10,25088,142,108,204,[0],[0.99999999],36.51048660942032,[0],[0.9999914],36.510494,514,160,108
CNN,eurosat,10,25088,143,76,213,[0],[0.99866127],47.80356664925266,[0],[0.9990019],47.803226,234,236,76
CNN,eurosat,10,25088,144,96,335,[5],[0.62028947],9.359175122465146,[5],[0.60657924],9.381526,696,298,96
CNN,eurosat,10,25088,145,143,279,[7],[0.99999858],13.062169542789208,[7],[0.9999589],13.062208,892,160,143
CNN,eurosat,10,25088,146,80,160,[5],[0.99999881],44.1044285275715,[5],[1.],44.104424,370,160,80
CNN,eurosat,10,25088,147,161,305,[7],[0.99999995],16.533355761810736,[7],[1.],16.533356,662,160,161
CNN,eurosat,10,25088,148,128,404,[9],[0.99911388],11.35990293229552,[9],[0.996808],11.362213,943,288,128
CNN,eurosat,10,25088,149,171,324,[0],[1.],68.86201477050781,[0],[1.],68.862015,324,160,171
